,Date,State,Race,Poll,Result,Spread,Year,Lead,Party,Party Class,score
831,2010-09-10,North Carolina,North Carolina Senate - Burr vs. Marshall,Rasmussen Reports,"Burr 54, Marshall 38",16,2010,Burr,R,0.0,7.0
832,2010-09-14,North Carolina,North Carolina Senate - Burr vs. Marshall,SurveyUSA,"Burr 58, Marshall 34",24,2010,Burr,R,0.0,12.0
833,2010-09-14,North Carolina,North Carolina Senate - Burr vs. Marshall,SurveyUSA,"Burr 58, Marshall 34",24,2010,Burr,R,0.0,12.0
834,2010-09-24,North Carolina,North Carolina Senate - Burr vs. Marshall,Civitas (R),"Burr 49, Marshall 29",20,2010,Burr,R,0.0,0.0
835,2010-09-24,North Carolina,North Carolina Senate - Burr vs. Marshall,Civitas (R),"Burr 49, Marshall 29",20,2010,Burr,R,0.0,0.0
836,2010-09-29,North Carolina,North Carolina Senate - Burr vs. Marshall,PPP (D),"Burr 49, Marshall 36",13,2010,Burr,R,0.0,9.0
837,2010-09-29,North Carolina,North Carolina Senate - Burr vs. Marshall,PPP (D),"Burr 49, Marshall 36",13,2010,Burr,R,0.0,9.0
838,2010-10-13,North Carolina,North Carolina Senate - Burr vs. Marshall,Rasmussen Reports,"Burr 52, Marshall 38",14,2010,Burr,R,0.0,7.0
839,2010-10-13,North Carolina,North Carolina Senate - Burr vs. Marshall,Rasmussen Reports,"Burr 52, Marshall 38",14,2010,Burr,R,0.0,7.0
840,2014-12-10,North Carolina,North Carolina Senate - Burr vs. Hagan,PPP (D),"Burr 46, Hagan 43",3,2014,Burr,R,0.0,9.0
841,2014-12-10,North Carolina,North Carolina Senate - Burr vs. Hagan,PPP (D),"Burr 46, Hagan 43",3,2014,Burr,R,0.0,9.0
842,2015-02-03,North Carolina,North Carolina Senate - Burr vs. Cowell,PPP (D),"Burr 45, Cowell 38",7,2015,Burr,R,0.0,9.0
843,2015-02-03,North Carolina,North Carolina Senate - Burr vs. Cowell,PPP (D),"Burr 45, Cowell 38",7,2015,Burr,R,0.0,9.0
844,2015-02-03,North Carolina,North Carolina Senate - Burr vs. McIntyre,PPP (D),"Burr 44, McIntyre 37",7,2015,Burr,R,0.0,9.0
845,2015-02-03,North Carolina,North Carolina Senate - Burr vs. McIntyre,PPP (D),"Burr 44, McIntyre 37",7,2015,Burr,R,0.0,9.0
846,2015-02-03,North Carolina,North Carolina Senate - Burr vs. Ross,PPP (D),"Burr 44, Ross 35",9,2015,Burr,R,0.0,9.0
847,2015-02-03,North Carolina,North Carolina Senate - Burr vs. Ross,PPP (D),"Burr 44, Ross 35",9,2015,Burr,R,0.0,9.0
848,2015-02-03,North Carolina,North Carolina Senate - Burr vs. Hagan,PPP (D),"Burr 48, Hagan 42",6,2015,Burr,R,0.0,9.0
849,2015-02-03,North Carolina,North Carolina Senate - Burr vs. Hagan,PPP (D),"Burr 48, Hagan 42",6,2015,Burr,R,0.0,9.0
850,2015-03-03,North Carolina,North Carolina Senate - Burr vs. Cowell,PPP (D),"Burr 44, Cowell 38",6,2015,Burr,R,0.0,9.0
851,2015-03-03,North Carolina,North Carolina Senate - Burr vs. Cowell,PPP (D),"Burr 44, Cowell 38",6,2015,Burr,R,0.0,9.0
852,2015-03-03,North Carolina,North Carolina Senate - Burr vs. Hagan,PPP (D),"Burr 50, Hagan 43",7,2015,Burr,R,0.0,9.0
853,2015-03-03,North Carolina,North Carolina Senate - Burr vs. Hagan,PPP (D),"Burr 50, Hagan 43",7,2015,Burr,R,0.0,9.0
854,2015-03-03,North Carolina,North Carolina Senate - Burr vs. Joines,PPP (D),"Burr 45, Joines 33",12,2015,Burr,R,0.0,9.0
855,2015-03-03,North Carolina,North Carolina Senate - Burr vs. Joines,PPP (D),"Burr 45, Joines 33",12,2015,Burr,R,0.0,9.0
856,2015-04-08,North Carolina,North Carolina Senate - Burr vs. Miller,PPP (D),"Burr 45, Miller 34",11,2015,Burr,R,0.0,9.0
857,2015-04-08,North Carolina,North Carolina Senate - Burr vs. Miller,PPP (D),"Burr 45, Miller 34",11,2015,Burr,R,0.0,9.0
858,2015-04-08,North Carolina,North Carolina Senate - Burr vs. Martin,PPP (D),"Burr 46, Martin 32",14,2015,Burr,R,0.0,9.0
859,2015-04-08,North Carolina,North Carolina Senate - Burr vs. Martin,PPP (D),"Burr 46, Martin 32",14,2015,Burr,R,0.0,9.0
860,2015-04-08,North Carolina,North Carolina Senate - Burr vs. Jackson,PPP (D),"Burr 46, Jackson 30",16,2015,Burr,R,0.0,9.0
861,2015-04-08,North Carolina,North Carolina Senate - Burr vs. Jackson,PPP (D),"Burr 46, Jackson 30",16,2015,Burr,R,0.0,9.0
862,2015-04-08,North Carolina,North Carolina Senate - Burr vs. Hagan,PPP (D),"Burr 50, Hagan 38",12,2015,Burr,R,0.0,9.0
863,2015-04-08,North Carolina,North Carolina Senate - Burr vs. Hagan,PPP (D),"Burr 50, Hagan 38",12,2015,Burr,R,0.0,9.0
864,2015-04-08,North Carolina,North Carolina Senate - Burr vs. Cowell,PPP (D),"Burr 46, Cowell 35",11,2015,Burr,R,0.0,9.0
865,2015-04-08,North Carolina,North Carolina Senate - Burr vs. Cowell,PPP (D),"Burr 46, Cowell 35",11,2015,Burr,R,0.0,9.0
866,2015-04-08,North Carolina,North Carolina Senate - Burr vs. Blue,PPP (D),"Burr 47, Blue 36",11,2015,Burr,R,0.0,9.0
867,2015-04-08,North Carolina,North Carolina Senate - Burr vs. Blue,PPP (D),"Burr 47, Blue 36",11,2015,Burr,R,0.0,9.0
868,2015-04-28,North Carolina,North Carolina Senate - Burr vs. Hagan,Elon University,"Burr 44, Hagan 43",1,2015,Burr,R,0.0,11.0
869,2015-04-28,North Carolina,North Carolina Senate - Burr vs. Hagan,Elon University,"Burr 44, Hagan 43",1,2015,Burr,R,0.0,11.0
870,2015-06-03,North Carolina,North Carolina Senate - Burr vs. Hagan,PPP (D),"Burr 49, Hagan 40",9,2015,Burr,R,0.0,9.0
871,2015-06-03,North Carolina,North Carolina Senate - Burr vs. Hagan,PPP (D),"Burr 49, Hagan 40",9,2015,Burr,R,0.0,9.0
872,2015-06-03,North Carolina,North Carolina Senate - Burr vs. Blue,PPP (D),"Burr 48, Blue 34",14,2015,Burr,R,0.0,9.0
873,2015-06-03,North Carolina,North Carolina Senate - Burr vs. Blue,PPP (D),"Burr 48, Blue 34",14,2015,Burr,R,0.0,9.0
874,2015-06-03,North Carolina,North Carolina Senate - Burr vs. Martin,PPP (D),"Burr 46, Martin 31",15,2015,Burr,R,0.0,9.0
875,2015-06-03,North Carolina,North Carolina Senate - Burr vs. Martin,PPP (D),"Burr 46, Martin 31",15,2015,Burr,R,0.0,9.0
876,2015-06-03,North Carolina,North Carolina Senate - Burr vs. McIntyre,PPP (D),"Burr 43, McIntyre 34",9,2015,Burr,R,0.0,9.0
877,2015-06-03,North Carolina,North Carolina Senate - Burr vs. McIntyre,PPP (D),"Burr 43, McIntyre 34",9,2015,Burr,R,0.0,9.0
878,2015-06-03,North Carolina,North Carolina Senate - Burr vs. Jackson,PPP (D),"Burr 48, Jackson 30",18,2015,Burr,R,0.0,9.0
879,2015-06-03,North Carolina,North Carolina Senate - Burr vs. Jackson,PPP (D),"Burr 48, Jackson 30",18,2015,Burr,R,0.0,9.0
880,2015-07-09,North Carolina,North Carolina Senate - Burr vs. Blue,PPP (D),"Burr 45, Blue 35",10,2015,Burr,R,0.0,9.0
881,2015-07-09,North Carolina,North Carolina Senate - Burr vs. Blue,PPP (D),"Burr 45, Blue 35",10,2015,Burr,R,0.0,9.0
882,2015-07-09,North Carolina,North Carolina Senate - Burr vs. Miller,PPP (D),"Burr 46, Miller 36",10,2015,Burr,R,0.0,9.0
883,2015-07-09,North Carolina,North Carolina Senate - Burr vs. Miller,PPP (D),"Burr 46, Miller 36",10,2015,Burr,R,0.0,9.0
884,2015-07-09,North Carolina,North Carolina Senate - Burr vs. McIntyre,PPP (D),"Burr 44, McIntyre 35",9,2015,Burr,R,0.0,9.0
885,2015-07-09,North Carolina,North Carolina Senate - Burr vs. McIntyre,PPP (D),"Burr 44, McIntyre 35",9,2015,Burr,R,0.0,9.0
886,2015-07-09,North Carolina,North Carolina Senate - Burr vs. Martin,PPP (D),"Burr 47, Martin 33",14,2015,Burr,R,0.0,9.0
887,2015-07-09,North Carolina,North Carolina Senate - Burr vs. Martin,PPP (D),"Burr 47, Martin 33",14,2015,Burr,R,0.0,9.0
888,2015-07-09,North Carolina,North Carolina Senate - Burr vs. Wood,PPP (D),"Burr 45, Wood 34",11,2015,Burr,R,0.0,9.0
889,2015-07-09,North Carolina,North Carolina Senate - Burr vs. Wood,PPP (D),"Burr 45, Wood 34",11,2015,Burr,R,0.0,9.0
890,2015-07-09,North Carolina,North Carolina Senate - Burr vs. Shuler,PPP (D),"Burr 44, Shuler 36",8,2015,Burr,R,0.0,9.0
891,2015-07-09,North Carolina,North Carolina Senate - Burr vs. Shuler,PPP (D),"Burr 44, Shuler 36",8,2015,Burr,R,0.0,9.0
892,2015-09-30,North Carolina,North Carolina Senate - Burr vs. Shuler,PPP (D),"Burr 42, Shuler 37",5,2015,Burr,R,0.0,9.0
893,2015-09-30,North Carolina,North Carolina Senate - Burr vs. Shuler,PPP (D),"Burr 42, Shuler 37",5,2015,Burr,R,0.0,9.0
894,2015-09-30,North Carolina,North Carolina Senate - Burr vs. Rey,PPP (D),"Burr 46, Rey 34",12,2015,Burr,R,0.0,9.0
895,2015-09-30,North Carolina,North Carolina Senate - Burr vs. Rey,PPP (D),"Burr 46, Rey 34",12,2015,Burr,R,0.0,9.0
896,2015-10-29,North Carolina,North Carolina Senate - Burr vs. Ross,PPP (D),"Burr 43, Ross 39",4,2015,Burr,R,0.0,9.0
897,2015-10-29,North Carolina,North Carolina Senate - Burr vs. Ross,PPP (D),"Burr 43, Ross 39",4,2015,Burr,R,0.0,9.0
898,2015-12-09,North Carolina,North Carolina Senate - Burr vs. Ross,PPP (D),"Burr 46, Ross 35",11,2015,Burr,R,0.0,9.0
899,2015-12-09,North Carolina,North Carolina Senate - Burr vs. Ross,PPP (D),"Burr 46, Ross 35",11,2015,Burr,R,0.0,9.0
900,2016-01-21,North Carolina,North Carolina Senate - Burr vs. Ross,PPP (D),"Burr 43, Ross 33",10,2016,Burr,R,0.0,9.0
901,2016-01-21,North Carolina,North Carolina Senate - Burr vs. Ross,PPP (D),"Burr 43, Ross 33",10,2016,Burr,R,0.0,9.0
902,2016-02-22,North Carolina,North Carolina Senate - Burr vs. Ross,SurveyUSA,"Burr 45, Ross 37",8,2016,Burr,R,0.0,12.0
903,2016-02-22,North Carolina,North Carolina Senate - Burr vs. Ross,SurveyUSA,"Burr 45, Ross 37",8,2016,Burr,R,0.0,12.0
904,2016-04-27,North Carolina,North Carolina Senate - Burr vs. Ross,PPP (D)*,"Burr 40, Ross 36",4,2016,Burr,R,0.0,0.0
905,2016-04-27,North Carolina,North Carolina Senate - Burr vs. Ross,PPP (D)*,"Burr 40, Ross 36",4,2016,Burr,R,0.0,0.0
906,2016-05-05,North Carolina,North Carolina Senate - Burr vs. Ross,Civitas (R)*,"Burr 39, Ross 38",1,2016,Burr,R,0.0,0.0
907,2016-05-05,North Carolina,North Carolina Senate - Burr vs. Ross,Civitas (R)*,"Burr 39, Ross 38",1,2016,Burr,R,0.0,0.0
908,2016-05-25,North Carolina,North Carolina Senate - Burr vs. Ross,PPP (D)*,"Burr 39, Ross 36",3,2016,Burr,R,0.0,0.0
909,2016-05-25,North Carolina,North Carolina Senate - Burr vs. Ross,PPP (D)*,"Burr 39, Ross 36",3,2016,Burr,R,0.0,0.0
910,2016-06-23,North Carolina,North Carolina Senate - Burr vs. Ross,PPP (D)*,"Burr 40, Ross 37",3,2016,Burr,R,0.0,0.0
911,2016-06-23,North Carolina,North Carolina Senate - Burr vs. Ross,PPP (D)*,"Burr 40, Ross 37",3,2016,Burr,R,0.0,0.0
912,2016-07-15,North Carolina,North Carolina Senate - Burr vs. Ross,NBC/WSJ/Marist,"Burr 48, Ross 41",7,2016,Burr,R,0.0,12.0
913,2016-07-15,North Carolina,North Carolina Senate - Burr vs. Ross,NBC/WSJ/Marist,"Burr 48, Ross 41",7,2016,Burr,R,0.0,12.0
914,2016-08-10,North Carolina,North Carolina Senate - Burr vs. Ross,PPP (D)*,"Burr 41, Ross 37",4,2016,Burr,R,0.0,0.0
915,2016-08-10,North Carolina,North Carolina Senate - Burr vs. Ross,PPP (D)*,"Burr 41, Ross 37",4,2016,Burr,R,0.0,0.0
916,2016-08-24,North Carolina,North Carolina Senate - Burr vs. Ross,CNN/ORC,"Burr 50, Ross 45",5,2016,Burr,R,0.0,10.0
917,2016-08-24,North Carolina,North Carolina Senate - Burr vs. Ross,CNN/ORC,"Burr 50, Ross 45",5,2016,Burr,R,0.0,10.0
918,2016-08-24,North Carolina,North Carolina Senate - Burr vs. Ross,Monmouth*,"Burr 45, Ross 43",2,2016,Burr,R,0.0,13.0
919,2016-08-24,North Carolina,North Carolina Senate - Burr vs. Ross,Monmouth*,"Burr 45, Ross 43",2,2016,Burr,R,0.0,13.0
920,2016-08-31,North Carolina,North Carolina Senate - Burr vs. Ross,Emerson,"Burr 45, Ross 41",4,2016,Burr,R,0.0,10.0
921,2016-08-31,North Carolina,North Carolina Senate - Burr vs. Ross,Emerson,"Burr 45, Ross 41",4,2016,Burr,R,0.0,10.0
922,2016-09-08,North Carolina,North Carolina Senate - Burr vs. Ross,Suffolk*,"Burr 41, Ross 37",4,2016,Burr,R,0.0,10.0
923,2016-09-08,North Carolina,North Carolina Senate - Burr vs. Ross,Suffolk*,"Burr 41, Ross 37",4,2016,Burr,R,0.0,10.0
924,2016-09-08,North Carolina,North Carolina Senate - Burr vs. Ross,Suffolk*,"Ross 37, Burr 41",4,2016,Burr,R,0.0,10.0
925,2016-09-08,North Carolina,North Carolina Senate - Burr vs. Ross,Suffolk*,"Ross 37, Burr 41",4,2016,Burr,R,0.0,10.0
926,2016-09-09,North Carolina,North Carolina Senate - Burr vs. Ross,Quinnipiac,"Ross 43, Burr 49",6,2016,Burr,R,0.0,11.0
927,2016-09-09,North Carolina,North Carolina Senate - Burr vs. Ross,Quinnipiac,"Ross 43, Burr 49",6,2016,Burr,R,0.0,11.0
928,2016-09-21,North Carolina,North Carolina Senate - Burr vs. Ross,FOX News*,"Ross 37, Burr 43",6,2016,Burr,R,0.0,12.0
929,2016-09-21,North Carolina,North Carolina Senate - Burr vs. Ross,FOX News*,"Ross 37, Burr 43",6,2016,Burr,R,0.0,12.0
930,2016-09-26,North Carolina,North Carolina Senate - Burr vs. Ross,High Point*,"Ross 43, Burr 45",2,2016,Burr,R,0.0,10.0
931,2016-09-26,North Carolina,North Carolina Senate - Burr vs. Ross,High Point*,"Ross 43, Burr 45",2,2016,Burr,R,0.0,10.0
932,2016-09-26,North Carolina,North Carolina Senate - Burr vs. Ross,High Point*,"Burr 45, Ross 43",2,2016,Burr,R,0.0,10.0
933,2016-09-26,North Carolina,North Carolina Senate - Burr vs. Ross,High Point*,"Burr 45, Ross 43",2,2016,Burr,R,0.0,10.0
934,2016-10-05,North Carolina,North Carolina Senate - Burr vs. Ross,WRAL-TV/SurveyUSA*,"Burr 46, Ross 44",2,2016,Burr,R,0.0,12.0
935,2016-10-05,North Carolina,North Carolina Senate - Burr vs. Ross,WRAL-TV/SurveyUSA*,"Burr 46, Ross 44",2,2016,Burr,R,0.0,12.0
936,2016-10-10,North Carolina,North Carolina Senate - Burr vs. Ross,High Point*,"Burr 47, Ross 42",5,2016,Burr,R,0.0,10.0
937,2016-10-10,North Carolina,North Carolina Senate - Burr vs. Ross,High Point*,"Burr 47, Ross 42",5,2016,Burr,R,0.0,10.0
938,2016-10-13,North Carolina,North Carolina Senate - Burr vs. Ross,Suffolk*,"Burr 40, Ross 36",4,2016,Burr,R,0.0,10.0
939,2016-10-13,North Carolina,North Carolina Senate - Burr vs. Ross,Suffolk*,"Burr 40, Ross 36",4,2016,Burr,R,0.0,10.0
940,2016-10-13,North Carolina,North Carolina Senate - Burr vs. Ross,Emerson,"Burr 45, Ross 43",2,2016,Burr,R,0.0,10.0
941,2016-10-13,North Carolina,North Carolina Senate - Burr vs. Ross,Emerson,"Burr 45, Ross 43",2,2016,Burr,R,0.0,10.0
942,2016-10-17,North Carolina,North Carolina Senate - Burr vs. Ross,CNN/ORC,"Burr 48, Ross 47",1,2016,Burr,R,0.0,10.0
943,2016-10-17,North Carolina,North Carolina Senate - Burr vs. Ross,CNN/ORC,"Burr 48, Ross 47",1,2016,Burr,R,0.0,10.0
944,2016-10-19,North Carolina,North Carolina Senate - Burr vs. Ross,SurveyUSA*,"Burr 45, Ross 43",2,2016,Burr,R,0.0,12.0
945,2016-10-19,North Carolina,North Carolina Senate - Burr vs. Ross,SurveyUSA*,"Burr 45, Ross 43",2,2016,Burr,R,0.0,12.0
946,2016-10-19,North Carolina,North Carolina Senate - Burr vs. Ross,Civitas (R)*,"Burr 45, Ross 37",8,2016,Burr,R,0.0,0.0
947,2016-10-19,North Carolina,North Carolina Senate - Burr vs. Ross,Civitas (R)*,"Burr 45, Ross 37",8,2016,Burr,R,0.0,0.0
948,2016-10-24,North Carolina,North Carolina Senate - Burr vs. Ross,PPP (D)*,"Burr 42, Ross 41",1,2016,Burr,R,0.0,0.0
949,2016-10-24,North Carolina,North Carolina Senate - Burr vs. Ross,PPP (D)*,"Burr 42, Ross 41",1,2016,Burr,R,0.0,0.0
950,2016-10-24,North Carolina,North Carolina Senate - Burr vs. Ross,Monmouth*,"Burr 49, Ross 43",6,2016,Burr,R,0.0,13.0
951,2016-10-24,North Carolina,North Carolina Senate - Burr vs. Ross,Monmouth*,"Burr 49, Ross 43",6,2016,Burr,R,0.0,13.0
952,2016-10-28,North Carolina,North Carolina Senate - Burr vs. Ross,Quinnipiac,"Burr 48, Ross 47",1,2016,Burr,R,0.0,11.0
953,2016-10-28,North Carolina,North Carolina Senate - Burr vs. Ross,Quinnipiac,"Burr 48, Ross 47",1,2016,Burr,R,0.0,11.0
954,2016-10-29,North Carolina,North Carolina Senate - Burr vs. Ross,Emerson,"Burr 48, Ross 44",4,2016,Burr,R,0.0,10.0
955,2016-10-29,North Carolina,North Carolina Senate - Burr vs. Ross,Emerson,"Burr 48, Ross 44",4,2016,Burr,R,0.0,10.0
956,2016-11-01,North Carolina,North Carolina Senate - Burr vs. Ross,Elon*,"Burr 45, Ross 42",3,2016,Burr,R,0.0,11.0
957,2016-11-01,North Carolina,North Carolina Senate - Burr vs. Ross,Elon*,"Burr 45, Ross 42",3,2016,Burr,R,0.0,11.0
958,2016-11-02,North Carolina,North Carolina Senate - Burr vs. Ross,WRAL-TV/SurveyUSA*,"Burr 49, Ross 43",6,2016,Burr,R,0.0,12.0
959,2016-11-02,North Carolina,North Carolina Senate - Burr vs. Ross,WRAL-TV/SurveyUSA*,"Burr 49, Ross 43",6,2016,Burr,R,0.0,12.0
960,2016-11-07,North Carolina,North Carolina Senate - Burr vs. Ross,NY Times/Siena,"Burr 46, Ross 45",1,2016,Burr,R,0.0,12.0
961,2016-11-07,North Carolina,North Carolina Senate - Burr vs. Ross,NY Times/Siena,"Burr 46, Ross 45",1,2016,Burr,R,0.0,12.0
962,2016-11-07,North Carolina,North Carolina Senate - Burr vs. Ross,Gravis,"Burr 48, Ross 47",1,2016,Burr,R,0.0,7.0
963,2016-11-07,North Carolina,North Carolina Senate - Burr vs. Ross,Gravis,"Burr 48, Ross 47",1,2016,Burr,R,0.0,7.0
964,2010-05-30,California,California Senate - Boxer vs. Campbell,LA Times/USC,"Boxer 38, Campbell 45",7,2010,Campbell,,,6.0
965,2011-11-23,Washington,Washington Senate - Baumgartner vs. Cantwell,SurveyUSA,"Cantwell 51, Baumgartner 39",12,2011,Cantwell,D,1.0,12.0
966,2012-01-17,Washington,Washington Senate - Baumgartner vs. Cantwell,SurveyUSA,"Cantwell 50, Baumgartner 41",9,2012,Cantwell,D,1.0,12.0
967,2012-02-24,Washington,Washington Senate - Baumgartner vs. Cantwell,PPP (D),"Cantwell 51, Baumgartner 36",15,2012,Cantwell,D,1.0,9.0
968,2012-06-20,Washington,Washington Senate - Baumgartner vs. Cantwell,PPP (D),"Cantwell 51, Baumgartner 35",16,2012,Cantwell,D,1.0,9.0
969,2012-07-20,Washington,Washington Senate - Baumgartner vs. Cantwell,SurveyUSA,"Cantwell 51, Baumgartner 40",11,2012,Cantwell,D,1.0,12.0
970,2012-10-04,Washington,Washington Senate - Baumgartner vs. Cantwell,Rasmussen Reports,"Cantwell 57, Baumgartner 37",20,2012,Cantwell,D,1.0,7.0
971,2012-10-06,Washington,Washington Senate - Baumgartner vs. Cantwell,SurveyUSA,"Cantwell 53, Baumgartner 40",13,2012,Cantwell,D,1.0,12.0
972,2012-10-18,Washington,Washington Senate - Baumgartner vs. Cantwell,The Washington Poll,"Cantwell 58, Baumgartner 35",23,2012,Cantwell,D,1.0,0.0
973,2012-10-21,Washington,Washington Senate - Baumgartner vs. Cantwell,Rasmussen Reports,"Cantwell 52, Baumgartner 37",15,2012,Cantwell,D,1.0,7.0
974,2012-11-01,Washington,Washington Senate - Baumgartner vs. Cantwell,The Washington Poll,"Cantwell 61, Baumgartner 33",28,2012,Cantwell,D,1.0,0.0
975,2012-11-03,Washington,Washington Senate - Baumgartner vs. Cantwell,PPP (D),"Cantwell 57, Baumgartner 39",18,2012,Cantwell,D,1.0,9.0
976,2018-10-16,Washington,Washington Senate - Hutchison vs. Cantwell,Elway Poll,"Cantwell 53, Hutchison 39",14,2018,Cantwell,D,1.0,0.0
977,2013-08-30,West Virginia,West Virginia Senate - Capito vs. Tennant,The West Virginia Poll,"Capito 45, Tennant 40",5,2013,Capito,R,0.0,0.0
978,2013-08-30,West Virginia,West Virginia Senate - Capito vs. Tennant,The West Virginia Poll,"Capito 45, Tennant 40",5,2013,Capito,R,0.0,0.0
979,2013-08-30,West Virginia,West Virginia Senate - Capito vs. Tennant,The West Virginia Poll,"Capito 45, Tennant 40",5,2013,Capito,R,0.0,0.0
980,2013-09-24,West Virginia,West Virginia Senate - Capito vs. Tennant,PPP (D),"Capito 50, Tennant 36",14,2013,Capito,R,0.0,9.0
981,2013-09-24,West Virginia,West Virginia Senate - Capito vs. Tennant,PPP (D),"Capito 50, Tennant 36",14,2013,Capito,R,0.0,9.0
982,2013-09-24,West Virginia,West Virginia Senate - Capito vs. Tennant,PPP (D),"Capito 50, Tennant 36",14,2013,Capito,R,0.0,9.0
983,2014-02-24,West Virginia,West Virginia Senate - Capito vs. Tennant,Rasmussen Reports,"Capito 49, Tennant 35",14,2014,Capito,R,0.0,7.0
984,2014-02-24,West Virginia,West Virginia Senate - Capito vs. Tennant,Rasmussen Reports,"Capito 49, Tennant 35",14,2014,Capito,R,0.0,7.0
985,2014-02-24,West Virginia,West Virginia Senate - Capito vs. Tennant,Rasmussen Reports,"Capito 49, Tennant 35",14,2014,Capito,R,0.0,7.0
986,2014-05-19,West Virginia,West Virginia Senate - Capito vs. Tennant,Rasmussen Reports,"Capito 48, Tennant 39",9,2014,Capito,R,0.0,7.0
987,2014-05-19,West Virginia,West Virginia Senate - Capito vs. Tennant,Rasmussen Reports,"Capito 48, Tennant 39",9,2014,Capito,R,0.0,7.0
988,2014-05-19,West Virginia,West Virginia Senate - Capito vs. Tennant,Rasmussen Reports,"Capito 48, Tennant 39",9,2014,Capito,R,0.0,7.0
989,2014-05-27,West Virginia,West Virginia Senate - Capito vs. Tennant,The West Virginia Poll,"Capito 49, Tennant 38",11,2014,Capito,R,0.0,0.0
990,2014-05-27,West Virginia,West Virginia Senate - Capito vs. Tennant,The West Virginia Poll,"Capito 49, Tennant 38",11,2014,Capito,R,0.0,0.0
991,2014-05-27,West Virginia,West Virginia Senate - Capito vs. Tennant,The West Virginia Poll,"Capito 49, Tennant 38",11,2014,Capito,R,0.0,0.0
992,2014-07-28,West Virginia,West Virginia Senate - Capito vs. Tennant,CBS News/NYT/YouGov,"Capito 51, Tennant 43",8,2014,Capito,R,0.0,11.0
993,2014-07-28,West Virginia,West Virginia Senate - Capito vs. Tennant,CBS News/NYT/YouGov,"Capito 51, Tennant 43",8,2014,Capito,R,0.0,11.0
994,2014-07-28,West Virginia,West Virginia Senate - Capito vs. Tennant,CBS News/NYT/YouGov,"Capito 51, Tennant 43",8,2014,Capito,R,0.0,11.0
995,2014-08-21,West Virginia,West Virginia Senate - Capito vs. Tennant,Rasmussen Reports,"Capito 50, Tennant 33",17,2014,Capito,R,0.0,7.0
996,2014-08-21,West Virginia,West Virginia Senate - Capito vs. Tennant,Rasmussen Reports,"Capito 50, Tennant 33",17,2014,Capito,R,0.0,7.0
997,2014-08-21,West Virginia,West Virginia Senate - Capito vs. Tennant,Rasmussen Reports,"Capito 50, Tennant 33",17,2014,Capito,R,0.0,7.0
998,2014-08-30,West Virginia,West Virginia Senate - Capito vs. Tennant,The West Virginia Poll,"Capito 54, Tennant 37",17,2014,Capito,R,0.0,0.0
999,2014-08-30,West Virginia,West Virginia Senate - Capito vs. Tennant,The West Virginia Poll,"Capito 54, Tennant 37",17,2014,Capito,R,0.0,0.0
1000,2014-08-30,West Virginia,West Virginia Senate - Capito vs. Tennant,The West Virginia Poll,"Capito 54, Tennant 37",17,2014,Capito,R,0.0,0.0
1001,2014-09-07,West Virginia,West Virginia Senate - Capito vs. Tennant,CBS News/NYT/YouGov,"Capito 55, Tennant 32",23,2014,Capito,R,0.0,11.0
1002,2014-09-07,West Virginia,West Virginia Senate - Capito vs. Tennant,CBS News/NYT/YouGov,"Capito 55, Tennant 32",23,2014,Capito,R,0.0,11.0
1003,2014-09-07,West Virginia,West Virginia Senate - Capito vs. Tennant,CBS News/NYT/YouGov,"Capito 55, Tennant 32",23,2014,Capito,R,0.0,11.0
1004,2014-10-02,West Virginia,West Virginia Senate - Capito vs. Tennant,Rasmussen Reports,"Capito 50, Tennant 39",11,2014,Capito,R,0.0,7.0
1005,2014-10-02,West Virginia,West Virginia Senate - Capito vs. Tennant,Rasmussen Reports,"Capito 50, Tennant 39",11,2014,Capito,R,0.0,7.0
1006,2014-10-02,West Virginia,West Virginia Senate - Capito vs. Tennant,Rasmussen Reports,"Capito 50, Tennant 39",11,2014,Capito,R,0.0,7.0
1007,2014-10-05,West Virginia,West Virginia Senate - Capito vs. Tennant,CBS News/NYT/YouGov,"Capito 56, Tennant 33",23,2014,Capito,R,0.0,11.0
1008,2014-10-05,West Virginia,West Virginia Senate - Capito vs. Tennant,CBS News/NYT/YouGov,"Capito 56, Tennant 33",23,2014,Capito,R,0.0,11.0
1009,2014-10-05,West Virginia,West Virginia Senate - Capito vs. Tennant,CBS News/NYT/YouGov,"Capito 56, Tennant 33",23,2014,Capito,R,0.0,11.0
1010,2014-10-26,West Virginia,West Virginia Senate - Capito vs. Tennant,CBS News/NYT/YouGov,"Capito 56, Tennant 34",22,2014,Capito,R,0.0,11.0
1011,2014-10-26,West Virginia,West Virginia Senate - Capito vs. Tennant,CBS News/NYT/YouGov,"Capito 56, Tennant 34",22,2014,Capito,R,0.0,11.0
1012,2014-10-26,West Virginia,West Virginia Senate - Capito vs. Tennant,CBS News/NYT/YouGov,"Capito 56, Tennant 34",22,2014,Capito,R,0.0,11.0
1013,2012-09-26,Maryland,Maryland Senate - Bongino vs. Cardin vs. Sobhani,Gonzales Research,"Cardin 50, Bongino 22, Sobhani 21",28,2012,Cardin,D,1.0,8.0
1014,2012-10-22,Maryland,Maryland Senate - Bongino vs. Cardin vs. Sobhani,Washington Post,"Cardin 53, Bongino 22, Sobhani 14",31,2012,Cardin,D,1.0,13.0
