,index,candidate_ids,committee_id,committee_type,committee_type_full,cycles,designation,designation_full,filing_frequency,first_file_date,last_f1_date,last_file_date,state,candidate_donor_weight
1312,3416,['H6NY27188'],C00619007,H,House,"[2016, 2018]",P,Principal campaign committee,A,2016-06-03,2016-06-07,2018-04-26,NY,1.0
1313,3417,['H2MD01162'],C00520197,H,House,"[2012, 2014]",P,Principal campaign committee,T,2012-05-01,2012-07-02,2013-03-19,MD,1.0
1314,3418,['P60010212'],C00583831,P,Presidential,"[2016, 2018]",P,Principal campaign committee,A,2015-08-20,2015-08-20,2018-04-26,IL,1.0
1315,3420,['H8OH12289'],C00667394,H,House,[2018],P,Principal campaign committee,Q,2018-01-27,2018-04-15,2018-04-15,OH,1.0
1316,3421,['H8TX32171'],C00668988,H,House,[2018],P,Principal campaign committee,Q,2018-02-06,2018-02-06,2018-04-14,TX,1.0
1317,3422,['H4GA13034'],C00553677,H,House,"[2014, 2016]",P,Principal campaign committee,A,2013-12-23,2013-12-23,2015-12-16,GA,1.0
1318,3423,['H4OH14102'],C00538637,H,House,"[2012, 2014, 2016, 2018]",P,Principal campaign committee,T,2012-12-03,2014-02-17,2018-02-14,OH,1.0
1319,3425,['H2NJ02128'],C00514588,H,House,[2012],P,Principal campaign committee,T,2012-02-27,2012-04-13,2012-07-18,NJ,1.0
1320,3426,['H2NJ02128'],C00546416,H,House,"[2014, 2016]",P,Principal campaign committee,T,2013-07-01,2013-07-01,2015-07-17,NJ,1.0
1321,3427,['S8MO00137'],C00635599,S,Senate,[2018],P,Principal campaign committee,Q,2017-03-22,2017-03-22,2018-10-15,MO,1.0
1322,3428,['H2IL08104'],C00498451,H,House,"[2012, 2014]",P,Principal campaign committee,A,2011-06-30,2011-06-30,2014-10-12,IL,1.0
1323,3430,['H4OH16099'],C00545525,H,House,[2014],P,Principal campaign committee,T,2013-06-05,2013-06-05,2013-07-11,OH,1.0
1324,3431,['H2MA04065'],C00508994,H,House,[2012],P,Principal campaign committee,T,2012-01-02,2012-01-02,2012-05-24,MA,1.0
1325,3432,['H4MD02190'],C00558866,H,House,[2014],P,Principal campaign committee,T,2014-03-06,2014-04-24,2014-09-11,MD,1.0
1326,3438,['H2IL01158'],C00503672,H,House,"[2012, 2014, 2016]",P,Principal campaign committee,A,2011-10-05,2011-10-05,2015-11-12,IL,1.0
1327,3444,['H2IL03121'],C00506923,H,House,[2012],P,Principal campaign committee,T,2011-12-05,2011-12-05,2012-12-27,IL,1.0
1328,3448,['S8MN00669'],C00679464,S,Senate,[2018],P,Principal campaign committee,Q,2018-05-08,2018-06-27,2018-06-27,MN,1.0
1329,3454,['H0IL12076'],C00505073,H,House,[2012],P,Principal campaign committee,T,2011-11-01,2011-11-01,2012-07-16,IL,1.0
1330,3457,['H6TX15196'],C00579664,H,House,"[2016, 2018]",P,Principal campaign committee,Q,2015-06-18,2015-06-18,2018-10-13,TX,1.0
1331,3464,['P60007143'],C00576967,P,Presidential,"[2016, 2018]",P,Principal campaign committee,A,2015-04-28,2015-05-22,2018-04-26,FL,1.0
1332,3466,['H2IL01141'],C00501338,H,House,"[2012, 2014, 2016]",A,Authorized by a candidate,A,2011-08-30,2011-08-30,2016-06-23,IL,1.0
1333,3467,['H2IL01141'],C00582163,H,House,[2016],P,Principal campaign committee,T,2015-07-28,2015-09-17,2016-05-03,IL,1.0
1334,3468,['H2MO08075'],C00522003,H,House,"[2012, 2014]",P,Principal campaign committee,T,2012-05-29,2012-07-10,2013-02-24,MO,1.0
1335,3469,['S8MS00279'],C00675249,S,Senate,[2018],P,Principal campaign committee,Q,2018-04-02,2018-04-02,2018-05-14,MS,1.0
1336,3470,['H2SC07090'],C00507616,H,House,"[2012, 2014]",P,Principal campaign committee,T,2011-12-07,2011-12-07,2013-11-13,SC,1.0
1337,3471,['H6IL01175'],C00684738,H,House,[2018],P,Principal campaign committee,Q,2018-08-08,2018-08-08,2018-08-08,IL,1.0
1338,3472,['H6IL02199'],C00620237,H,House,"[2016, 2018]",P,Principal campaign committee,Q,2016-06-10,2016-08-29,2016-08-29,IL,1.0
1339,3473,['S8CA00606'],C00681312,S,Senate,[2018],P,Principal campaign committee,Q,2018-06-13,2018-07-11,2018-10-31,CA,1.0
1340,3474,['H2FL02124'],C00526616,H,House,"[2012, 2014, 2016]",P,Principal campaign committee,A,2012-08-10,2012-08-10,2015-12-16,FL,1.0
1341,3475,['H2SC04121'],C00525345,H,House,"[2012, 2014, 2016, 2018]",P,Principal campaign committee,A,2012-07-19,2012-07-19,2017-07-26,SC,1.0
1342,3476,['H4IL02293'],C00542498,H,House,"[2014, 2016]",P,Principal campaign committee,A,2013-03-11,2013-10-28,2015-12-16,IL,1.0
1343,3477,['H8AS00052'],C00570432,H,House,[2014],P,Principal campaign committee,T,2014-09-15,2014-11-10,2014-12-22,AS,1.0
1344,3478,['H2UT03249'],C00524629,H,House,"[2012, 2014]",P,Principal campaign committee,T,2012-07-06,2012-10-22,2014-07-24,UT,1.0
1345,3479,['H2WV01094'],C00504399,H,House,"[2012, 2014]",P,Principal campaign committee,T,2011-10-24,2013-08-02,2013-08-07,WV,1.0
1346,3480,['S6MD03482'],C00587683,S,Senate,[2016],P,Principal campaign committee,T,2015-09-24,2015-10-15,2016-05-23,MD,1.0
