race_type,top_candidates,date
house,"['mcdowell', 'benishek']",2012-09-20
house,"['tarkanian', 'horsford']",2012-09-21
house,"['gibson', 'schreibman']",2012-09-21
house,"['crawford', 'ellington']",2012-09-24
house,"['terry', 'ewing']",2012-09-24
house,"['cotton', 'jeffress']",2012-09-24
house,"['duckworth', 'walsh']",2012-09-25
house,"['grimm', 'murphy']",2012-09-25
house,"['slaughter', 'brooks']",2012-09-27
house,"['kilmer', 'driscoll']",2012-09-28
house,"['tisei', 'tierney']",2012-10-01
house,"['cicilline', 'doherty']",2012-10-02
house,"['love', 'matheson']",2012-10-02
house,"['kuster', 'bass']",2012-10-04
house,"['shea-porter', 'guinta']",2012-10-04
house,"['runyan', 'adler']",2012-10-05
house,"['collins', 'hochul']",2012-10-07
house,"['cicilline', 'doherty']",2012-10-10
house,"['kuster', 'bass']",2012-10-11
house,"['guinta', 'shea-porter']",2012-10-11
house,"['walsh', 'duckworth']",2012-10-12
house,"['slaughter', 'brooks']",2012-10-14
house,"['rigell', 'hirschbiel']",2012-10-15
house,"['grisham', 'arnold-jones']",2012-10-16
house,"['bachmann', 'graves']",2012-10-16
house,"['frankel', 'hasner']",2012-10-18
house,"['frankel', 'hasner']",2012-10-18
house,"['west', 'murphy']",2012-10-19
house,"['west', 'murphy']",2012-10-19
house,"['hayworth', 'maloney']",2012-10-19
house,"['bilbray', 'peters']",2012-10-20
house,"['pestka', 'amash']",2012-10-22
house,"['bachmann', 'graves']",2012-10-22
house,"['nolan', 'cravaack']",2012-10-22
house,"['delbene', 'koster']",2012-10-23
house,"['bentivolio', 'taj']",2012-10-24
house,"['kuster', 'bass']",2012-10-25
house,"['guinta', 'shea-porter']",2012-10-25
house,"['duckworth', 'walsh']",2012-10-26
house,"['delaney', 'bartlett']",2012-10-29
house,"['grisham', 'arnold-jones']",2012-10-30
house,"['gibson', 'schreibman']",2012-10-30
house,"['cicilline', 'doherty']",2012-10-31
house,"['tarkanian', 'horsford']",2012-10-31
house,"['grimm', 'murphy']",2012-11-01
house,"['owens', 'doheny']",2012-11-01
house,"['peters', 'bilbray']",2012-11-01
house,"['slaughter', 'brooks']",2012-11-01
house,"['love', 'matheson']",2012-11-02
house,"['kuster', 'bass']",2012-11-02
house,"['guinta', 'shea-porter']",2012-11-02
house,"['mullin', 'wallace']",2012-11-03
house,"['maffei', 'buerkle']",2012-11-03
house,"['michaud', 'raye']",2012-11-04
house,"['collins', 'hochul']",2012-11-04
house,"['michaud', 'raye']",2012-11-05
house,"['kuster', 'bass']",2012-11-05
house,"['shea-porter', 'guinta']",2012-11-05
house,"['nolan', 'cravaack']",2012-11-05
house,"['colbert busch', 'sanford']",2013-04-22
house,"['sanford', 'colbert busch']",2013-05-06
house,"['lambert', 'kuster']",2013-10-18
house,"['shea-porter', 'innis']",2013-10-18
house,"['shea-porter', 'guinta']",2013-10-18
house,"['guinta', 'shea-porter']",2014-02-04
house,"['shea-porter', 'innis']",2014-02-04
house,"['kuster', 'lambert']",2014-02-04
house,"['kuster', 'garcia']",2014-02-04
house,"['young', 'moore']",2014-02-04
house,"['sink', 'jolly']",2014-02-13
house,"['kuster', 'lambert']",2014-04-17
house,"['shea-porter', 'innis']",2014-04-17
house,"['kuster', 'garcia']",2014-04-17
house,"['shea-porter', 'guinta']",2014-04-17
house,"['clawson', 'benacquisto']",2014-04-18
house,"['rangel', 'espaillat']",2014-05-22
house,"['demaio', 'peters']",2014-06-16
house,"['amash', 'ellis']",2014-06-17
house,"['rangel', 'espaillat']",2014-06-20
house,"['cain', 'poliquin']",2014-06-23
house,"['guinta', 'shea-porter']",2014-07-08
house,"['shea-porter', 'innis']",2014-07-08
house,"['kuster', 'lambert']",2014-07-08
house,"['kuster', 'garcia']",2014-07-08
house,"['kuster', 'lawrence']",2014-07-08
house,"['clarke', 'lawrence']",2014-07-17
house,"['trott', 'bentivolio']",2014-07-17
house,"['mitchell', 'moolenaar']",2014-07-17
house,"['clarke', 'lawrence']",2014-07-17
house,"['trott', 'bentivolio']",2014-07-17
house,"['pompeo', 'tiahrt']",2014-07-24
house,"['crawford', 'mcpherson']",2014-08-02
house,"['westerman', 'witt']",2014-08-02
house,"['hill', 'hays']",2014-08-02
house,"['love', 'owens']",2014-08-12
house,"['kuster', 'lawrence']",2014-08-21
house,"['kuster', 'lambert']",2014-08-21
house,"['kuster', 'garcia']",2014-08-21
house,"['shea-porter', 'innis']",2014-08-21
house,"['guinta', 'shea-porter']",2014-08-21
house,"['moulton', 'tisei']",2014-09-06
house,"['tisei', 'tierney']",2014-09-06
house,"['tierney', 'moulton']",2014-09-06
house,"['tierney', 'moulton']",2014-09-08
house,"['valadao', 'renteria']",2014-09-10
house,"['appel', 'young']",2014-09-10
house,"['loebsack', 'miller-meeks']",2014-09-10
house,"['murphy', 'blum']",2014-09-10
house,"['king', 'mowrer']",2014-09-10
house,"['stefanik', 'woolf']",2014-09-12
house,"['gibson', 'eldridge']",2014-09-12
house,"['macarthur', 'belgard']",2014-09-16
house,"['peters', 'demaio']",2014-09-17
house,"['grimm', 'recchia']",2014-09-17
house,"['shea-porter', 'guinta']",2014-09-18
house,"['kuster', 'garcia']",2014-09-18
house,"['bishop', 'zeldin']",2014-09-18
house,"['maloney', 'hayworth']",2014-09-19
house,"['rice', 'blakeman']",2014-09-19
house,"['maffei', 'katko']",2014-09-22
house,"['kline', 'obermueller']",2014-09-22
house,"['djou', 'takai']",2014-09-23
house,"['guinta', 'shea-porter']",2014-09-24
house,"['kuster', 'garcia']",2014-09-24
house,"['moulton', 'tisei']",2014-09-26
house,"['poliquin', 'cain']",2014-09-28
house,"['ellmers', 'aiken']",2014-09-30
house,"['tisei', 'moulton']",2014-10-01
house,"['guinta', 'shea-porter']",2014-10-02
house,"['kuster', 'garcia']",2014-10-02
house,"['stefanik', 'woolf']",2014-10-02
house,"['bustos', 'schilling']",2014-10-06
house,"['lobiondo', 'hughes']",2014-10-06
house,"['schneider', 'dold']",2014-10-06
house,"['foster', 'senger']",2014-10-06
house,"['bost', 'enyart']",2014-10-06
house,"['davis', 'callis']",2014-10-06
house,"['garcia', 'kuster']",2014-10-07
house,"['shea-porter', 'guinta']",2014-10-07
house,"['kuster', 'garcia']",2014-10-08
house,"['shea-porter', 'guinta']",2014-10-08
