,Date,Party,Name,Chamber,State
181,2016-11-08,d,raja krishnamoorthi,house,IL
182,2016-11-08,d,jan schakowsky,house,IL
183,2016-11-08,d,brad schneider,house,IL
184,2016-11-08,d,bill foster,house,IL
185,2016-11-08,r,mike bost,house,IL
186,2016-11-08,r,rodney davis,house,IL
187,2016-11-08,r,randy hultgren,house,IL
188,2016-11-08,r,john shimkus,house,IL
189,2016-11-08,r,adam kinzinger,house,IL
190,2016-11-08,d,cheri bustos,house,IL
191,2016-11-08,r,darin lahood,house,IL
192,2016-11-08,d,pete visclosky,house,IN
193,2016-11-08,r,jackie walorski,house,IN
194,2016-11-08,r,jim banks,house,IN
195,2016-11-08,r,todd rokita,house,IN
196,2016-11-08,r,susan brooks,house,IN
197,2016-11-08,r,luke messer,house,IN
198,2016-11-08,d,andre carson,house,IN
199,2016-11-08,r,larry bucshon,house,IN
200,2016-11-08,r,trey hollingsworth,house,IN
201,2016-11-08,r,rod blum,house,IA
202,2016-11-08,d,dave loebsack,house,IA
203,2016-11-08,r,david young,house,IA
204,2016-11-08,r,steve king,house,IA
205,2016-11-08,r,roger marshall,house,KS
206,2016-11-08,r,lynn jenkins,house,KS
207,2016-11-08,r,kevin yoder,house,KS
208,2016-11-08,r,mike pompeo,house,KS
209,2017-04-11,r,ron estes,house,KS
210,2016-11-08,r,james comer,house,KY
211,2016-11-08,r,brett guthrie,house,KY
212,2016-11-08,d,john yarmuth,house,KY
213,2016-11-08,r,thomas massie,house,KY
214,2016-11-08,r,hal rogers,house,KY
215,2016-11-08,r,andy barr,house,KY
216,2016-11-08,r,steve scalise,house,LA
217,2016-11-08,d,cedric richmond,house,LA
218,2016-11-08,r,clay higgins,house,LA
219,2016-11-08,r,mike johnson,house,LA
220,2016-11-08,r,ralph abraham,house,LA
221,2016-11-08,r,garret graves,house,LA
222,2016-11-08,d,chellie pingree,house,ME
223,2016-11-08,r,bruce poliquin,house,ME
224,2016-11-08,r,andy harris,house,MD
225,2016-11-08,d,dutch ruppersberger,house,MD
226,2016-11-08,d,john sarbanes,house,MD
227,2016-11-08,d,anthony g. brown,house,MD
228,2016-11-08,d,steny hoyer,house,MD
229,2016-11-08,d,john delaney,house,MD
230,2016-11-08,d,elijah cummings,house,MD
231,2016-11-08,d,jamie raskin,house,MD
232,2016-11-08,d,richard neal,house,MA
233,2016-11-08,d,jim mcgovern,house,MA
234,2016-11-08,d,niki tsongas,house,MA
235,2016-11-08,d,joseph p. kennedy iii,house,MA
236,2016-11-08,d,katherine clark,house,MA
237,2016-11-08,d,seth moulton,house,MA
238,2016-11-08,d,mike capuano,house,MA
239,2016-11-08,d,stephen f. lynch,house,MA
240,2016-11-08,d,bill keating,house,MA
241,2016-11-08,r,jack bergman,house,MI
242,2016-11-08,r,bill huizenga,house,MI
243,2016-11-08,r,justin amash,house,MI
244,2016-11-08,r,john moolenaar,house,MI
245,2016-11-08,d,dan kildee,house,MI
246,2016-11-08,r,fred upton,house,MI
247,2016-11-08,r,tim walberg,house,MI
248,2016-11-08,r,mike bishop,house,MI
249,2016-11-08,d,sander levin,house,MI
250,2016-11-08,r,paul mitchell,house,MI
251,2016-11-08,r,dave trott,house,MI
252,2016-11-08,d,debbie dingell,house,MI
253,2016-11-08,d,john conyers,house,MI
254,2016-11-08,d,brenda lawrence,house,MI
255,2016-11-08,d,tim walz,house,MN
256,2016-11-08,r,jason lewis,house,MN
257,2016-11-08,r,erik paulsen,house,MN
258,2016-11-08,d,betty mccollum,house,MN
259,2016-11-08,d,keith ellison,house,MN
260,2016-11-08,r,tom emmer,house,MN
261,2016-11-08,d,collin peterson,house,MN
262,2016-11-08,d,rick nolan,house,MN
263,2016-11-08,r,trent kelly,house,MS
264,2016-11-08,d,bennie thompson,house,MS
265,2016-11-08,r,gregg harper,house,MS
266,2016-11-08,r,steven palazzo,house,MS
267,2016-11-08,d,lacy clay,house,MO
268,2016-11-08,r,ann wagner,house,MO
269,2016-11-08,r,blaine luetkemeyer,house,MO
270,2016-11-08,r,vicky hartzler,house,MO
271,2016-11-08,d,emanuel cleaver,house,MO
272,2016-11-08,r,sam graves,house,MO
273,2016-11-08,r,billy long,house,MO
274,2016-11-08,r,jason t. smith,house,MO
275,2016-11-08,r,ryan zinke,house,MT
276,2017-05-25,r,greg gianforte,house,MT
277,2016-11-08,r,jeff fortenberry,house,NE
278,2016-11-08,r,don bacon,house,NE
279,2016-11-08,r,adrian smith,house,NE
280,2016-11-08,d,dina titus,house,NV
281,2016-11-08,r,mark amodei,house,NV
282,2016-11-08,d,jacky rosen,house,NV
283,2016-11-08,d,ruben kihuen,house,NV
284,2016-11-08,d,carol shea-porter,house,NH
285,2016-11-08,d,ann mclane kuster,house,NH
286,2016-11-08,d,donald norcross,house,NJ
287,2016-11-08,r,frank lobiondo,house,NJ
288,2016-11-08,r,tom macarthur,house,NJ
289,2016-11-08,r,chris smith,house,NJ
290,2016-11-08,d,josh gottheimer,house,NJ
291,2016-11-08,d,frank pallone,house,NJ
292,2016-11-08,r,leonard lance,house,NJ
293,2016-11-08,d,albio sires,house,NJ
294,2016-11-08,d,bill pascrell,house,NJ
295,2016-11-08,d,donald payne jr.,house,NJ
296,2016-11-08,r,rodney frelinghuysen,house,NJ
297,2016-11-08,d,bonnie watson coleman,house,NJ
298,2016-11-08,d,michelle lujan grisham,house,NM
299,2016-11-08,r,steve pearce,house,NM
300,2016-11-08,d,ben ray lujan,house,NM
301,2016-11-08,r,lee zeldin,house,NY
302,2016-11-08,r,peter t. king,house,NY
303,2016-11-08,d,thomas suozzi,house,NY
304,2016-11-08,d,kathleen rice,house,NY
305,2016-11-08,d,gregory meeks,house,NY
306,2016-11-08,d,grace meng,house,NY
307,2016-11-08,d,nydia velazquez,house,NY
308,2016-11-08,d,hakeem jeffries,house,NY
309,2016-11-08,d,yvette clarke,house,NY
310,2016-11-08,d,jerrold nadler,house,NY
311,2016-11-08,r,dan donovan,house,NY
312,2016-11-08,d,carolyn maloney,house,NY
313,2016-11-08,d,adriano espaillat,house,NY
314,2016-11-08,d,joseph crowley,house,NY
315,2016-11-08,d,jose e. serrano,house,NY
316,2016-11-08,d,eliot engel,house,NY
317,2016-11-08,d,nita lowey,house,NY
318,2016-11-08,d,sean patrick maloney,house,NY
319,2016-11-08,r,john faso,house,NY
320,2016-11-08,d,paul tonko,house,NY
321,2016-11-08,r,elise stefanik,house,NY
322,2016-11-08,r,claudia tenney,house,NY
323,2016-11-08,r,tom reed,house,NY
324,2016-11-08,r,john katko,house,NY
325,2016-11-08,d,louise slaughter,house,NY
326,2016-11-08,d,brian higgins,house,NY
327,2016-11-08,r,chris collins,house,NY
328,2016-11-08,d,g. k. butterfield,house,NC
329,2016-11-08,r,george holding,house,NC
330,2016-11-08,r,walter b. jones jr.,house,NC
331,2016-11-08,d,david price,house,NC
332,2016-11-08,r,virginia foxx,house,NC
333,2016-11-08,r,mark walker,house,NC
334,2016-11-08,r,david rouzer,house,NC
335,2016-11-08,r,richard hudson,house,NC
336,2016-11-08,r,robert pittenger,house,NC
337,2016-11-08,r,patrick mchenry,house,NC
338,2016-11-08,r,mark meadows,house,NC
339,2016-11-08,d,alma adams,house,NC
340,2016-11-08,r,ted budd,house,NC
341,2016-11-08,r,kevin cramer,house,ND
342,2016-11-08,r,steve chabot,house,OH
343,2016-11-08,r,brad wenstrup,house,OH
344,2016-11-08,d,joyce beatty,house,OH
345,2016-11-08,r,jim jordan,house,OH
346,2016-11-08,r,bob latta,house,OH
347,2016-11-08,r,bill johnson,house,OH
348,2016-11-08,r,bob gibbs,house,OH
349,2016-11-08,r,warren davidson,house,OH
350,2016-11-08,d,marcy kaptur,house,OH
351,2016-11-08,r,mike turner,house,OH
352,2016-11-08,d,marcia fudge,house,OH
353,2016-11-08,r,pat tiberi,house,OH
354,2018-08-07,r,troy balderson,house,OH
355,2016-11-08,d,tim ryan,house,OH
356,2016-11-08,r,david joyce,house,OH
357,2016-11-08,r,steve stivers,house,OH
358,2016-11-08,r,jim renacci,house,OH
359,2016-11-08,r,jim bridenstine,house,OK
360,2016-11-08,r,markwayne mullin,house,OK
361,2016-11-08,r,frank lucas,house,OK
362,2016-11-08,r,tom cole,house,OK
363,2016-11-08,r,steve russell,house,OK
364,2016-11-08,d,suzanne bonamici,house,OR
365,2016-11-08,r,greg walden,house,OR
366,2016-11-08,d,earl blumenauer,house,OR
367,2016-11-08,d,peter defazio,house,OR
368,2016-11-08,d,kurt schrader,house,OR
369,2016-11-08,d,bob brady,house,PA
370,2016-11-08,d,dwight evans,house,PA
371,2016-11-08,r,mike kelly,house,PA
372,2016-11-08,r,scott perry,house,PA
373,2016-11-08,r,glenn thompson,house,PA
374,2016-11-08,r,ryan costello,house,PA
375,2016-11-08,r,pat meehan,house,PA
376,2016-11-08,r,brian fitzpatrick,house,PA
377,2016-11-08,r,bill shuster,house,PA
378,2016-11-08,r,tom marino,house,PA
379,2016-11-08,r,lou barletta,house,PA
380,2016-11-08,r,keith rothfus,house,PA
381,2016-11-08,d,brendan boyle,house,PA
382,2016-11-08,d,michael f. doyle,house,PA
383,2016-11-08,r,charlie dent,house,PA
384,2016-11-08,r,lloyd smucker,house,PA
385,2016-11-08,d,matt cartwright,house,PA
386,2016-11-08,r,tim murphy,house,PA
387,2018-03-13,d,conor lamb,house,PA
388,2016-11-08,d,david cicilline,house,RI
389,2016-11-08,d,james langevin,house,RI
390,2016-11-08,r,mark sanford,house,SC
391,2016-11-08,r,joe wilson,house,SC
392,2016-11-08,r,jeff duncan,house,SC
393,2016-11-08,r,trey gowdy,house,SC
394,2016-11-08,r,mick mulvaney,house,SC
395,2017-06-20,r,ralph norman,house,SC
396,2016-11-08,d,jim clyburn,house,SC
397,2016-11-08,r,tom rice,house,SC
398,2016-11-08,r,kristi noem,house,SD
399,2016-11-08,r,phil roe,house,TN
400,2016-11-08,r,jimmy duncan,house,TN
401,2016-11-08,r,chuck fleischmann,house,TN
402,2016-11-08,r,scott desjarlais,house,TN
403,2016-11-08,d,jim cooper,house,TN
404,2016-11-08,r,diane black,house,TN
405,2016-11-08,r,marsha blackburn,house,TN
406,2016-11-08,r,david kustoff,house,TN
407,2016-11-08,d,steve cohen,house,TN
408,2016-11-08,r,louie gohmert,house,TX
409,2016-11-08,r,ted poe,house,TX
410,2016-11-08,r,sam johnson,house,TX
411,2016-11-08,r,john ratcliffe,house,TX
412,2016-11-08,r,jeb hensarling,house,TX
413,2016-11-08,r,joe barton,house,TX
414,2016-11-08,r,john culberson,house,TX
415,2016-11-08,r,kevin brady,house,TX
416,2016-11-08,d,al green,house,TX
417,2016-11-08,r,michael mccaul,house,TX
418,2016-11-08,r,mike conaway,house,TX
419,2016-11-08,r,kay granger,house,TX
420,2016-11-08,r,mac thornberry,house,TX
421,2016-11-08,r,randy weber,house,TX
422,2016-11-08,d,vicente gonzalez,house,TX
423,2016-11-08,d,beto o'rourke,house,TX
424,2016-11-08,r,bill flores,house,TX
425,2016-11-08,d,sheila jackson lee,house,TX
426,2016-11-08,r,jodey arrington,house,TX
427,2016-11-08,d,joaquin castro,house,TX
428,2016-11-08,r,lamar s. smith,house,TX
429,2016-11-08,r,pete olson,house,TX
430,2016-11-08,r,will hurd,house,TX
431,2016-11-08,r,kenny marchant,house,TX
432,2016-11-08,r,roger williams,house,TX
433,2016-11-08,r,blake farenthold,house,TX
434,2018-06-30,r,michael cloud,house,TX
435,2016-11-08,d,henry cuellar,house,TX
436,2016-11-08,d,gene green,house,TX
437,2016-11-08,d,eddie bernice johnson,house,TX
438,2016-11-08,r,john carter,house,TX
439,2016-11-08,r,pete sessions,house,TX
440,2016-11-08,d,marc veasey,house,TX
441,2016-11-08,d,filemon vela jr.,house,TX
442,2016-11-08,d,lloyd doggett,house,TX
443,2016-11-08,r,brian babin,house,TX
444,2016-11-08,r,rob bishop,house,UT
445,2016-11-08,r,chris stewart,house,UT
446,2016-11-08,r,jason chaffetz,house,UT
447,2017-11-07,r,john curtis,house,UT
448,2016-11-08,r,mia love,house,UT
449,2016-11-08,d,peter welch,house,VT
450,2016-11-08,r,rob wittman,house,VA
451,2016-11-08,r,scott taylor,house,VA
452,2016-11-08,d,bobby scott,house,VA
453,2016-11-08,d,donald mceachin,house,VA
454,2016-11-08,r,tom garrett jr.,house,VA
455,2016-11-08,r,bob goodlatte,house,VA
456,2016-11-08,r,dave brat,house,VA
457,2016-11-08,d,don beyer,house,VA
458,2016-11-08,r,morgan griffith,house,VA
459,2016-11-08,r,barbara comstock,house,VA
460,2016-11-08,d,gerry connolly,house,VA
461,2016-11-08,d,suzan delbene,house,WA
462,2016-11-08,d,rick larsen,house,WA
463,2016-11-08,r,jaime herrera beutler,house,WA
464,2016-11-08,r,dan newhouse,house,WA
465,2016-11-08,r,cathy mcmorris rodgers,house,WA
466,2016-11-08,d,derek kilmer,house,WA
467,2016-11-08,d,pramila jayapal,house,WA
468,2016-11-08,r,dave reichert,house,WA
469,2016-11-08,d,adam smith,house,WA
470,2016-11-08,d,dennis heck,house,WA
471,2016-11-08,r,david mckinley,house,WV
472,2016-11-08,r,alex mooney,house,WV
473,2016-11-08,r,evan jenkins,house,WV
474,2016-11-08,r,paul ryan,house,WI
475,2016-11-08,d,mark pocan,house,WI
476,2016-11-08,d,ron kind,house,WI
477,2016-11-08,d,gwen moore,house,WI
478,2016-11-08,r,jim sensenbrenner,house,WI
479,2016-11-08,r,glenn grothman,house,WI
480,2016-11-08,r,sean duffy,house,WI
481,2016-11-08,r,mike gallagher,house,WI
482,2016-11-08,r,liz cheney,house,WY
483,2014-11-04,r,jeff sessions,senate,AL
484,2014-11-04,r,dan sullivan,senate,AK
485,2014-11-04,r,tom cotton,senate,AR
486,2014-11-04,r,cory gardner,senate,CO
487,2014-11-04,d,chris coons,senate,DE
488,2014-11-04,r,david perdue,senate,GA
489,2014-11-04,r,jim risch,senate,ID
490,2014-11-04,d,dick durbin,senate,IL
491,2014-11-04,r,joni ernst,senate,IA
492,2014-11-04,r,pat roberts,senate,KS
493,2014-11-04,r,mitch mcconnell,senate,KY
494,2014-11-04,r,bill cassidy,senate,LA
495,2014-11-04,r,susan collins,senate,ME
496,2014-11-04,d,ed markey,senate,MA
497,2014-11-04,d,gary peters,senate,MI
498,2014-11-04,d,al franken,senate,MN
499,2014-11-04,r,thad cochran,senate,MS
500,2014-11-04,r,steve daines,senate,MT
501,2014-11-04,r,ben sasse,senate,NE
502,2014-11-04,d,jeanne shaheen,senate,NH
503,2014-11-04,d,cory booker,senate,NJ
504,2014-11-04,d,tom udall,senate,NM
505,2014-11-04,r,thom tillis,senate,NC
506,2014-11-04,r,jim inhofe,senate,OK
507,2014-11-04,d,jeff merkley,senate,OR
508,2014-11-04,d,jack reed,senate,RI
509,2014-11-04,r,lindsey graham,senate,SC
510,2014-11-04,r,mike rounds,senate,SD
511,2014-11-04,r,lamar alexander,senate,TN
512,2014-11-04,r,john cornyn,senate,TX
513,2014-11-04,d,mark warner,senate,VA
514,2014-11-04,r,shelley moore capito,senate,WV
515,2014-11-04,r,mike enzi,senate,WY
516,2014-11-04,r,bradley byrne,house,AL
517,2014-11-04,r,martha roby,house,AL
518,2014-11-04,r,mike rogers,house,AL
519,2014-11-04,r,robert aderholt,house,AL
520,2014-11-04,r,mo brooks,house,AL
521,2014-11-04,r,gary palmer,house,AL
522,2014-11-04,d,terri sewell,house,AL
523,2014-11-04,r,don young,house,AK
524,2014-11-04,d,ann kirkpatrick,house,AZ
525,2014-11-04,r,martha mcsally,house,AZ
526,2014-11-04,d,raul grijalva,house,AZ
527,2014-11-04,r,paul gosar,house,AZ
528,2014-11-04,r,matt salmon,house,AZ
529,2014-11-04,r,david schweikert,house,AZ
530,2014-11-04,d,ruben gallego,house,AZ
531,2014-11-04,r,trent franks,house,AZ
532,2014-11-04,d,kyrsten sinema,house,AZ
533,2014-11-04,r,rick crawford,house,AR
534,2014-11-04,r,french hill,house,AR
535,2014-11-04,r,steve womack,house,AR
536,2014-11-04,r,bruce westerman,house,AR
537,2014-11-04,r,doug lamalfa,house,CA
538,2014-11-04,d,jared huffman,house,CA
539,2014-11-04,d,john garamendi,house,CA
540,2014-11-04,r,tom mcclintock,house,CA
541,2014-11-04,d,mike thompson,house,CA
542,2014-11-04,d,doris matsui,house,CA
543,2014-11-04,d,ami bera,house,CA
544,2014-11-04,r,paul cook,house,CA
545,2014-11-04,d,jerry mcnerney,house,CA
546,2014-11-04,r,jeff denham,house,CA
547,2014-11-04,d,mark desaulnier,house,CA
548,2014-11-04,d,nancy pelosi,house,CA
549,2014-11-04,d,barbara lee,house,CA
550,2014-11-04,d,jackie speier,house,CA
551,2014-11-04,d,eric swalwell,house,CA
552,2014-11-04,d,jim costa,house,CA
553,2014-11-04,d,mike honda,house,CA
554,2014-11-04,d,anna eshoo,house,CA
555,2014-11-04,d,zoe lofgren,house,CA
556,2014-11-04,d,sam farr,house,CA
557,2014-11-04,r,david valadao,house,CA
558,2014-11-04,r,devin nunes,house,CA
559,2014-11-04,r,kevin mccarthy,house,CA
560,2014-11-04,d,lois capps,house,CA
561,2014-11-04,r,steve knight,house,CA
562,2014-11-04,d,julia brownley,house,CA
563,2014-11-04,d,judy chu,house,CA
564,2014-11-04,d,adam schiff,house,CA
565,2014-11-04,d,tony cardenas,house,CA
566,2014-11-04,d,brad sherman,house,CA
567,2014-11-04,d,pete aguilar,house,CA
568,2014-11-04,d,grace napolitano,house,CA
569,2014-11-04,d,ted lieu,house,CA
570,2014-11-04,d,xavier becerra,house,CA
571,2014-11-04,d,norma torres,house,CA
572,2014-11-04,d,raul ruiz,house,CA
573,2014-11-04,d,karen bass,house,CA
574,2014-11-04,d,linda sanchez,house,CA
575,2014-11-04,r,ed royce,house,CA
576,2014-11-04,d,lucille roybal-allard,house,CA
577,2014-11-04,d,mark takano,house,CA
578,2014-11-04,r,ken calvert,house,CA
579,2014-11-04,d,maxine waters,house,CA
580,2014-11-04,d,janice hahn,house,CA
581,2014-11-04,r,mimi walters,house,CA
582,2014-11-04,d,loretta sanchez,house,CA
583,2014-11-04,d,alan lowenthal,house,CA
584,2014-11-04,r,dana rohrabacher,house,CA
585,2014-11-04,r,darrell issa,house,CA
586,2014-11-04,r,duncan d. hunter,house,CA
587,2014-11-04,d,juan vargas,house,CA
588,2014-11-04,d,scott peters,house,CA
589,2014-11-04,d,susan davis,house,CA
590,2014-11-04,d,diana degette,house,CO
591,2014-11-04,d,jared polis,house,CO
592,2014-11-04,r,scott tipton,house,CO
593,2014-11-04,r,ken buck,house,CO
594,2014-11-04,r,doug lamborn,house,CO
595,2014-11-04,r,mike coffman,house,CO
596,2014-11-04,d,ed perlmutter,house,CO
597,2014-11-04,d,john larson,house,CT
598,2014-11-04,d,joe courtney,house,CT
599,2014-11-04,d,rosa delauro,house,CT
600,2014-11-04,d,jim himes,house,CT
601,2014-11-04,d,elizabeth esty,house,CT
602,2014-11-04,d,john carney,house,DE
603,2014-11-04,r,jeff miller,house,FL
604,2014-11-04,d,gwen graham,house,FL
605,2014-11-04,r,ted yoho,house,FL
606,2014-11-04,r,ander crenshaw,house,FL
607,2014-11-04,d,corrine brown,house,FL
608,2014-11-04,r,ron desantis,house,FL
609,2014-11-04,r,john mica,house,FL
610,2014-11-04,r,bill posey,house,FL
611,2014-11-04,d,alan grayson,house,FL
612,2014-11-04,r,daniel webster,house,FL
613,2014-11-04,r,rich nugent,house,FL
614,2014-11-04,r,gus bilirakis,house,FL
615,2014-11-04,r,david jolly,house,FL
616,2014-11-04,d,kathy castor,house,FL
617,2014-11-04,r,vern buchanan,house,FL
