,race_name,race_type,state,top_candidates,pollster,poll_results,poll_leader,poll_spread,date,winner,district
158,new hampshire 1st district,house,NH,"['guinta', 'shea-porter']",wmur/unh,"{'guinta': 48.0, 'shea-porter': 36.0}",guinta,12.0,2010-10-15,guinta,1
159,minnesota 1st district,house,MN,"['walz', 'demmer']",surveyusa,"{'walz': 47.0, 'demmer': 42.0}",walz,5.0,2010-10-16,walz,1
160,pennsylvania 15th district,house,PA,"['dent', 'callahan']",morning call,"{'dent': 49.0, 'callahan': 32.0}",dent,17.0,2010-10-16,dent,15
161,new york 25th district,house,NY,"['maffei', 'buerkle']",siena,"{'maffei': 51.0, 'buerkle': 39.0}",maffei,12.0,2010-10-17,<BLANK>,25
162,virginia 5th district,house,VA,"['hurt', 'perriello']",roanoke college,"{'hurt': 46.0, 'perriello': 40.0}",hurt,6.0,2010-10-18,hurt,5
163,arizona 3rd district,house,AZ,"['hulburd', 'quayle']",daily kos/ppp (d),"{'hulburd': 46.0, 'quayle': 44.0}",hulburd,2.0,2010-10-18,quayle,3
164,pennsylvania 18th district special election,house,PA,"['saccone', 'lamb']",monmouth,"{'saccone': 49.0, 'lamb': 46.0}",saccone,3.0,2011-02-15,lamb,18
165,pennsylvania 18th district special election,house,PA,"['saccone', 'lamb']",gravis,"{'saccone': 46.0, 'lamb': 40.0}",saccone,6.0,2011-02-18,lamb,18
166,pennsylvania 18th district special election,house,PA,"['lamb', 'saccone']",emerson,"{'saccone': 45.0, 'lamb': 48.0}",lamb,3.0,2011-03-05,lamb,18
167,pennsylvania 18th district special election,house,PA,"['saccone', 'lamb']",gravis,"{'saccone': 45.0, 'lamb': 42.0}",saccone,3.0,2011-03-07,lamb,18
168,new york 26th district special election,house,NY,"['hochul', 'corwin']",ppp (d),"{'hochul': 42.0, 'corwin': 36.0, 'davis': 13.0}",hochul,6.0,2011-05-23,hochul,26
169,new york 9th district special election,house,NY,"['weprin', 'turner']",siena,"{'weprin': 48.0, 'turner': 42.0}",weprin,6.0,2011-08-10,turner,9
170,new york 9th district special election,house,NY,"['turner', 'weprin']",magellan strategies (r),"{'turner': 45.0, 'weprin': 40.0}",turner,5.0,2011-09-06,turner,9
171,new york 9th district special election,house,NY,"['turner', 'weprin']",siena,"{'turner': 50.0, 'weprin': 44.0}",turner,6.0,2011-09-09,turner,9
172,new york 9th district special election,house,NY,"['turner', 'weprin']",ppp (d),"{'turner': 47.0, 'weprin': 41.0}",turner,6.0,2011-09-12,turner,9
173,nevada 2nd district special election,house,NV,"['amodei', 'marshall']",ppp (d),"{'amodei': 50.0, 'marshall': 37.0}",amodei,13.0,2011-09-12,amodei,2
174,oregon 1st district special election,house,OR,"['bonamici', 'cornilles']",surveyusa,"{'bonamici': 50.0, 'cornilles': 39.0}",bonamici,11.0,2012-01-05,bonamici,1
175,illinois 16th district,house,IL,"['manzullo', 'kinzinger']",weaskamerica,"{'manzullo': 43.0, 'kinzinger': 42.0}",manzullo,1.0,2012-03-14,kinzinger,16
176,pennsylvania 12th district,house,PA,"['altmire', 'critz']",susquehanna,"{'altmire': 43.0, 'critz': 39.0}",altmire,4.0,2012-04-18,<BLANK>,12
177,new hampshire 1st district,house,NH,"['shea-porter', 'guinta']",ppp (d),"{'shea-porter': 47.0, 'guinta': 43.0}",shea-porter,4.0,2012-05-17,guinta,1
178,new hampshire 2nd district,house,NH,"['bass', 'kuster']",ppp (d),"{'bass': 42.0, 'kuster': 42.0}",,,2012-05-17,<BLANK>,2
179,rhode island 1st district,house,RI,"['cicilline', 'gemma']",wpri/fleming,"{'cicilline': 40.0, 'gemma': 36.0}",cicilline,4.0,2012-05-17,cicilline,1
180,arizona 8th district special election,house,AZ,"['barber', 'kelly']",ppp (d),"{'barber': 53.0, 'kelly': 41.0}",barber,12.0,2012-06-11,barber,8
181,utah 4th district,house,UT,"['matheson', 'love']",deseret news/ksl,"{'matheson': 53.0, 'love': 38.0}",matheson,15.0,2012-06-25,matheson,4
182,new hampshire 2nd district,house,NH,"['bass', 'kuster']",wmur/unh,"{'bass': 42.0, 'kuster': 37.0}",bass,5.0,2012-08-15,<BLANK>,2
183,new hampshire 1st district,house,NH,"['shea-porter', 'guinta']",wmur/unh,"{'shea-porter': 45.0, 'guinta': 43.0}",shea-porter,2.0,2012-08-15,guinta,1
184,new york 27th district,house,NY,"['collins', 'hochul']",siena,"{'collins': 47.0, 'hochul': 45.0}",collins,2.0,2012-08-19,collins,27
185,new mexico 1st district,house,NM,"['grisham', 'arnold-jones']",albuquerque journal,"{'grisham': 46.0, 'arnold-jones': 34.0}",grisham,12.0,2012-09-10,<BLANK>,1
186,new york 21st district,house,NY,"['owens', 'doheny']",siena,"{'owens': 49.0, 'doheny': 36.0}",owens,13.0,2012-09-10,owens,21
187,new york 24th district,house,NY,"['buerkle', 'maffei']",siena,"{'buerkle': 43.0, 'maffei': 43.0}",,,2012-09-13,maffei,24
188,new york 1st district,house,NY,"['bishop', 'altschuler']",siena,"{'bishop': 52.0, 'altschuler': 39.0}",bishop,13.0,2012-09-13,bishop,1
189,new york 18th district,house,NY,"['hayworth', 'maloney']",siena,"{'hayworth': 46.0, 'maloney': 33.0}",hayworth,13.0,2012-09-18,<BLANK>,18
190,washington 1st district,house,WA,"['koster', 'delbene']",surveyusa,"{'koster': 46.0, 'delbene': 42.0}",koster,4.0,2012-09-19,delbene,1
191,michigan 1st district,house,MI,"['mcdowell', 'benishek']",ppp (d),"{'mcdowell': 44.0, 'benishek': 42.0}",mcdowell,2.0,2012-09-20,benishek,1
192,nevada 4th district,house,NV,"['tarkanian', 'horsford']",lvrj/surveyusa,"{'tarkanian': 45.0, 'horsford': 42.0}",tarkanian,3.0,2012-09-21,horsford,4
193,new york 19th district,house,NY,"['gibson', 'schreibman']",siena,"{'gibson': 52.0, 'schreibman': 36.0}",gibson,16.0,2012-09-21,gibson,19
194,arkansas 1st district,house,AR,"['crawford', 'ellington']",talk business poll,"{'crawford': 53.0, 'ellington': 28.0}",crawford,25.0,2012-09-24,crawford,1
195,nebraska 2nd district,house,NE,"['terry', 'ewing']",omaha world-herald,"{'terry': 51.0, 'ewing': 38.0}",terry,13.0,2012-09-24,terry,2
196,arkansas 4th district,house,AR,"['cotton', 'jeffress']",talk business poll,"{'cotton': 51.0, 'jeffress': 22.0}",cotton,29.0,2012-09-24,cotton,4
197,illinois 8th district,house,IL,"['duckworth', 'walsh']",ppp (d),"{'duckworth': 52.0, 'walsh': 38.0}",duckworth,14.0,2012-09-25,duckworth,8
