,date,party,name,chamber,state,district
1653,2010-11-02,r,chuck fleischmann,house,TN,3
1654,2010-11-02,r,scott desjarlais,house,TN,4
1655,2010-11-02,d,jim cooper,house,TN,5
1656,2010-11-02,r,diane black,house,TN,6
1657,2010-11-02,r,marsha blackburn,house,TN,7
1658,2010-11-02,r,stephen fincher,house,TN,8
1659,2010-11-02,d,steve cohen,house,TN,9
1660,2010-11-02,r,louie gohmert,house,TX,1
1661,2010-11-02,r,ted poe,house,TX,2
1662,2010-11-02,r,sam johnson,house,TX,3
1663,2010-11-02,r,ralph hall,house,TX,4
1664,2010-11-02,r,jeb hensarling,house,TX,5
1665,2010-11-02,r,joe barton,house,TX,6
1666,2010-11-02,r,john culberson,house,TX,7
1667,2010-11-02,r,kevin brady,house,TX,8
1668,2010-11-02,d,al green,house,TX,9
1669,2010-11-02,r,michael mccaul,house,TX,10
1670,2010-11-02,r,mike conaway,house,TX,11
1671,2010-11-02,r,kay granger,house,TX,12
1672,2010-11-02,r,mac thornberry,house,TX,13
1673,2010-11-02,r,ron paul,house,TX,14
1674,2010-11-02,d,ruben hinojosa,house,TX,15
1675,2010-11-02,d,silvestre reyes,house,TX,16
1676,2010-11-02,r,bill flores,house,TX,17
1677,2010-11-02,d,sheila jackson lee,house,TX,18
1678,2010-11-02,r,randy neugebauer,house,TX,19
1679,2010-11-02,d,charlie gonzalez,house,TX,20
1680,2010-11-02,r,pete olson,house,TX,22
1681,2010-11-02,r,quico canseco,house,TX,23
1682,2010-11-02,r,kenny marchant,house,TX,24
1683,2010-11-02,d,lloyd doggett,house,TX,25
1684,2010-11-02,r,blake farenthold,house,TX,27
1685,2010-11-02,d,henry cuellar,house,TX,28
1686,2010-11-02,d,gene green,house,TX,29
1687,2010-11-02,d,eddie bernice johnson,house,TX,30
1688,2010-11-02,r,john carter,house,TX,31
1689,2010-11-02,r,pete sessions,house,TX,32
1690,2010-11-02,r,rob bishop,house,UT,1
1691,2010-11-02,d,jim matheson,house,UT,2
1692,2010-11-02,r,jason chaffetz,house,UT,3
1693,2010-11-02,d,peter welch,house,VT,0
1694,2010-11-02,r,rob wittman,house,VA,1
1695,2010-11-02,r,scott rigell,house,VA,2
1696,2010-11-02,d,bobby scott,house,VA,3
1697,2010-11-02,r,randy forbes,house,VA,4
1698,2010-11-02,r,robert hurt,house,VA,5
1699,2010-11-02,r,bob goodlatte,house,VA,6
1700,2010-11-02,r,eric cantor,house,VA,7
1701,2010-11-02,d,jim moran,house,VA,8
1702,2010-11-02,r,morgan griffith,house,VA,9
1703,2010-11-02,r,frank wolf,house,VA,10
1704,2010-11-02,d,gerry connolly,house,VA,11
1705,2010-11-02,d,jay inslee,house,WA,1
1707,2010-11-02,d,rick larsen,house,WA,2
1708,2010-11-02,r,jaime herrera beutler,house,WA,3
1709,2010-11-02,r,doc hastings,house,WA,4
1710,2010-11-02,r,cathy mcmorris rodgers,house,WA,5
1711,2010-11-02,d,jim mcdermott,house,WA,7
1712,2010-11-02,r,dave reichert,house,WA,8
1713,2010-11-02,d,adam smith,house,WA,9
1714,2010-11-02,r,david mckinley,house,WV,1
1715,2010-11-02,r,shelley moore capito,house,WV,2
1716,2010-11-02,d,nick rahall,house,WV,3
1717,2010-11-02,r,paul ryan,house,WI,1
1718,2010-11-02,d,tammy baldwin,house,WI,2
1719,2010-11-02,d,ron kind,house,WI,3
1720,2010-11-02,d,gwen moore,house,WI,4
1721,2010-11-02,r,jim sensenbrenner,house,WI,5
1722,2010-11-02,r,tom petri,house,WI,6
1723,2010-11-02,r,sean duffy,house,WI,7
1724,2010-11-02,r,reid ribble,house,WI,8
1725,2010-11-02,r,cynthia lummis,house,WY,0
