ID,Market,Ticker,Start Date (ET),Closed Date (ET)
2357,Which party will win Connecticut in the 2016 presidential election?,CT.USPREZ16,8/1/2016 20:00,11/9/2016 3:07
2391,Which party will win Idaho in the 2016 presidential election?,ID.USPREZ16,8/14/2016 20:00,11/9/2016 3:08
1323,Will the Democratic presidential nominee win at least 370 electoral votes in 2016?,370.DEMPREZ16,2/10/2015 19:00,11/9/2016 3:19
2196,Which party will win Texas in the 2016 presidential election?,TX.USPREZ16,6/6/2016 20:00,11/9/2016 3:25
2380,Will a 3rd party win any state in the 2016 presidential election?,3PTY.ANYSTATE.2016,8/9/2016 20:00,11/9/2016 3:26
2418,Which party will win Montana in the 2016 presidential election?,MT.USPREZ16,8/22/2016 20:00,11/9/2016 3:27
1322,Will the Republican presidential nominee win at least 370 electoral votes in 2016?,370.REPPREZ16,2/10/2015 19:00,11/9/2016 3:32
2392,Which party will win Hawaii in the 2016 presidential election?,HI.USPREZ16,8/14/2016 20:00,11/9/2016 11:28
2439,Which party will win Alaska in the 2016 presidential election?,AK.USPREZ16,8/29/2016 20:00,11/9/2016 11:41
2294,Will Will Hurd be re-elected to the House of Representatives from Texas' 23rd district?,HURD.TX23.2016,7/12/2016 20:00,11/9/2016 13:01
2139,Will Roy Blunt be re-elected in 2016?,BLUNT.MOSENATE2016,5/17/2016 20:00,11/9/2016 14:02
2100,Which party will win Virginia in the 2016 presidential election?,VA.USPREZ16,5/3/2016 20:00,11/9/2016 14:04
2174,Which party will win California in the 2016 presidential election?,CA.USPREZ16,5/30/2016 20:00,11/9/2016 14:18
2639,Will Evan McMullin win Utah in the 2016 presidential election?,MCMULLIN.UT.USPREZ16,10/18/2016 20:00,11/9/2016 14:19
2691,Will John Mica be re-elected to the House of Representatives from Florida's 7th district?,MICA.FL07.2016,10/30/2016 20:00,11/9/2016 14:35
1303,Will Republicans maintain a Senate majority after the next election?,SEN.RMAJ16,1/5/2015 19:00,11/9/2016 14:37
2647,Will Clinton or Trump concede the presidential election by November 9?,CONCESSION.USPREZ.110916,10/27/2016 12:00,11/9/2016 15:14
2355,Which party will win Oregon in the 2016 presidential election?,OR.USPREZ16,8/1/2016 20:00,11/9/2016 15:15
2692,Will Stephen Knight be re-elected to the House of Representatives from California's 25th district?,KNIGHT.CA25.2016,10/30/2016 20:00,11/9/2016 15:16
2270,Will Bruce Poliquin be re-elected to the House of Representatives from Maine's 2nd district?,POLIQUIN.ME2.2016,7/4/2016 20:00,11/9/2016 15:34
2099,Which party will win Colorado in the 2016 presidential election?,CO.USPREZ16,5/3/2016 20:00,11/9/2016 15:52
1998,Will John McCain be re-elected in 2016?,MCCAIN.AZSENATE2016,3/23/2016 20:00,11/9/2016 17:41
2101,Which party will win Pennsylvania in the 2016 presidential election?,PA.USPREZ16,5/3/2016 20:00,11/9/2016 17:52
2103,Which party will win Florida in the 2016 presidential election?,FL.USPREZ16,5/3/2016 20:00,11/9/2016 17:59
2202,Will Mike Coffman be re-elected to the House of Representatives from Colorado's 6th district?,COFFMAN.CO6.2016,6/8/2016 20:00,11/9/2016 18:01
2230,Which party will win Utah in the 2016 presidential election?,UT.USPREZ16,6/20/2016 20:00,11/9/2016 18:04
2220,Which party will win Minnesota in the 2016 presidential election?,MN.USPREZ16,6/15/2016 20:00,11/9/2016 18:12
2114,Which party will win Nevada in the 2016 presidential election?,NV.USPREZ16,5/8/2016 20:00,11/9/2016 18:22
2254,Will Mia Love be re-elected to the House of Representatives from Utah's 4th district?,LOVE.UT4.2016,6/28/2016 20:00,11/9/2016 18:23
2293,Will Brad Ashford be re-elected to the House of Representatives from Nebraska's 2nd district?,ASHFORD.NE2.2016,7/12/2016 20:00,11/9/2016 18:24
2402,Which party will win the electoral vote from Nebraska's 2nd Congressional District?,NE02.USPREZ16,8/15/2016 20:00,11/9/2016 18:25
2113,Which party will win Georgia in the 2016 presidential election?,GA.USPREZ16,5/8/2016 20:00,11/9/2016 18:28
2133,Which party will win Wisconsin in the 2016 presidential election?,WI.USPREZ16,5/15/2016 20:00,11/9/2016 18:38
2416,Which party will win Maine in the 2016 presidential election?,ME.USPREZ16,8/22/2016 20:00,11/9/2016 18:42
2119,Will Scott Garrett be re-elected to the House of Representatives from New Jersey's 5th district?,GARRETT.NJ5.2016,5/9/2016 20:00,11/9/2016 19:07
2052,Will Jay Inslee be re-elected as governor of Washington state?,INSLEE.WAGOV2016,4/17/2016 20:00,11/9/2016 19:42
2291,Which party will win Washington state in the 2016 presidential election?,WA.USPREZ16,7/11/2016 20:00,11/10/2016 12:31
2693,Will Jeff Denham be re-elected to the House of Representatives from California's 10th district?,DENHAM.CA10.2016,10/30/2016 20:00,11/10/2016 13:14
1406,Will a woman be elected U.S. President in 2016?,WOMAN.USPREZ16,5/7/2015 20:00,11/10/2016 14:01
1296,Which party will win the 2016 U.S. presidential election?,PREZPRTY16,1/4/2015 19:00,11/10/2016 14:08
2370,Who will be elected vice president in 2016?,USVP16,8/4/2016 20:00,11/10/2016 14:15
2135,Which party will win Arizona in the 2016 presidential election?,AZ.USPREZ16,5/15/2016 20:00,11/12/2016 10:06
2401,Which party will win the electoral vote from Maine’s 2nd Congressional District?,ME02.USPREZ16,8/15/2016 20:00,11/14/2016 21:01
2115,Which party will win New Hampshire in the 2016 presidential election?,NH.USPREZ16,5/8/2016 20:00,11/14/2016 21:15
2736,Who will be elected National Republican Congressional Committee chair in November?,CHAIR.NRCC.NOV17,11/13/2016 19:00,11/16/2016 8:32
2739,Will Nancy Pelosi be re-elected House Democratic leader?,PELOSI.DEMLEADER.115,11/13/2016 19:00,11/30/2016 12:47
2029, Will Pat McCrory be re-elected North Carolina governor in 2016?,MCCRORY.NCGOV2016,4/6/2016 20:00,12/8/2016 15:16
2631,Will Darrell Issa be re-elected to the House of Representatives from California's 49th district?,ISSA.CA49.2016,10/17/2016 20:00,12/12/2016 10:16
2132,Which party will win Michigan in the 2016 presidential election?,MI.USPREZ16,5/15/2016 20:00,12/12/2016 10:18
1234,Who will win the 2016 U.S. presidential election?,USPREZ16,10/13/2014 20:00,12/20/2016 22:42
2694,Will Ami Bera be re-elected to the House of Representatives from California's 7th district?,BERA.CA07.2016,10/30/2016 20:00,12/21/2016 12:11
2336,How many Electoral College votes will be cast for the winner of the 2016 presidential election?,ELECCOLLEGE.2016,7/26/2016 20:00,12/22/2016 9:47
2654,Who will be elected Los Angeles mayor in 2017?,MAYOR.LOSANGELES.2017,10/20/2016 20:00,3/8/2017 17:03
2924,Who will receive the most votes in the 2017 special election primary for California's 34th Congressional District?,PRMRY.CA34.2017,1/29/2017 19:00,4/5/2017 7:06
2926,Will anyone win a majority in the 2017 special election primary for California's 34th Congressional District?,MAJ.PRMRY.CA34.2017,1/29/2017 19:00,4/5/2017 7:07
2778,Who will be elected St. Louis mayor in 2017?,MAYOR.STLOUIS.2017,11/22/2016 19:00,4/5/2017 14:43
2896,Which party will win the 2017 House of Representatives special election in Kansas' 4th district?,KS04.2017,1/19/2017 19:00,4/12/2017 6:13
3185,Who will place 2nd in the 1st round 2017 special election in Georgia's 6th Congressional District?,2ND.GA06.2017,4/17/2017 20:00,4/19/2017 10:39
3170,Will the 2017 special election in Georgia's 6th District be won outright in the first round?,PWIN.GA06.2017,4/11/2017 20:00,4/20/2017 19:02
2961,Who will win the 2017 House of Representatives special election in Montana?,MTAL.2017,2/8/2017 19:00,5/26/2017 9:14
3220,Who will win the 2017 House of Representatives special election in California's 34th District?,CA34.2017,4/27/2017 20:00,6/7/2017 11:35
3369,Will Handel or Ossoff concede the GA-06 special election by June 20?,CONCEDE.GA06.062017,6/14/2017 20:00,6/21/2017 8:23
3070,Who will win the 2017 House of Representatives special election in South Carolina's 5th District?,SC05.2017,3/15/2017 20:00,6/21/2017 8:25
2932,Who will win the 2017 House of Representatives special election in Georgia's 6th District?,GA06.2017,1/31/2017 19:00,6/21/2017 8:27
3584,Who will win the Democratic primary in Alabama's 2017 special Senate election?,DEM.PRM.ALSEN.2017,8/13/2017 20:00,8/16/2017 8:25
3471,Will the GOP primary for 2017 U.S. Senate special election in Alabama go to a runoff?,RRUNOFF.ALSEN.2017,7/12/2017 20:00,8/16/2017 8:27
3472,Will the Democratic primary for 2017 U.S. Senate special election in Alabama go to a runoff?,DRUNOFF.ALSEN.2017,7/12/2017 20:00,8/16/2017 8:28
3582,Who will win the Republican primary in Utah's 3rd District 2017 special election?,GOP.PRM.UT03.2017,8/13/2017 20:00,8/16/2017 8:31
3583,Who will win the Republican primary in Alabama's 2017 special Senate election?,GOP.PRM.ALSEN.2017,8/13/2017 20:00,9/26/2017 22:10
2775,Who will be elected Boston mayor in 2017?,MAYOR.BOSTON.2017,11/22/2016 19:00,11/7/2017 22:28
2406,Who will be elected NYC mayor in 2017?,MAYOR.NYC2017,8/16/2016 20:00,11/8/2017 8:49
2776,Who will be elected Detroit mayor in 2017?,MAYOR.DETROIT.2017,11/22/2016 19:00,11/8/2017 8:50
2792,Who will be elected Cincinnati mayor in 2017?,MAYOR.CINCINNATI.2017,11/29/2016 19:00,11/8/2017 8:51
2793,Who will be elected Cleveland mayor in 2017?,MAYOR.CLEVELAND.2017,11/29/2016 19:00,11/8/2017 8:52
2794,Who will be elected Charlotte mayor in 2017?,MAYOR.CHARLOTTE.2017,1/5/2017 19:00,11/8/2017 8:53
2795,Who will be elected Pittsburgh mayor in 2017?,MAYOR.PITTSBURGH.2017,11/29/2016 19:00,11/8/2017 8:54
3499,Who will be elected Miami mayor in 2017?,MIAMI.2017,7/19/2017 20:00,11/8/2017 8:55
3298,Who will win the 2017 House of Representatives special election in Utah's 3rd District?,UT3.2017,5/21/2017 20:00,11/8/2017 10:08
2777,Who will be elected Minneapolis mayor in 2017?,MAYOR.MINNE.2017,11/22/2016 19:00,11/8/2017 20:53
2779,Who will be elected Seattle mayor in 2017?,MAYOR.SEATTLE.2017,11/22/2016 19:00,11/8/2017 20:54
3498,Who will be elected New Orleans mayor in 2017?,NOLA.2017,7/19/2017 20:00,11/21/2017 12:17
3873,Will Moore win Jefferson County in Alabama's special Senate election?,JEFF.ALSEN17,11/12/2017 19:00,12/13/2017 12:35
3874,Will Moore win Montgomery County in Alabama's special Senate election?,MONT.ALSEN17,11/12/2017 19:00,12/13/2017 12:36
3899,What will total write-in vote share be for the 2017 U.S. Senate special election in Alabama?,WI.ALSEN.2017,11/19/2017 19:00,12/13/2017 12:37
3903,Will Moore win Mobile County in Alabama's special Senate election?,MOBI.ALSEN17,11/20/2017 19:00,12/13/2017 12:38
3904,Will Moore win Madison County in Alabama's special Senate election?,MADI.ALSEN17,11/20/2017 19:00,12/13/2017 12:39
3783,Who will be elected Atlanta mayor in 2017?,ATL.2017,10/15/2017 20:00,12/21/2017 9:04
3299,Who will win the 2017 U.S. Senate special election in Alabama?,ALSEN.2017,5/22/2017 20:00,12/28/2017 16:54
3868,Which party will win the 2017 U.S. Senate special election in Alabama?,PARTY.ALSEN.18,11/9/2017 19:00,12/28/2017 16:56
3966,Which write-in candidate received the most votes in the 2017 U.S. Senate special election in Alabama?,TOPWI.ALSEN.2017,12/13/2017 19:00,12/28/2017 17:28
3922,How many counties will Moore win in Alabama's special Senate election?,MCOUNTIES.ALSEN17,11/28/2017 19:00,12/28/2017 17:40
3827,Who will be elected NYC council speaker in January 2018?,SPK.NYC.2018,10/29/2017 20:00,2/1/2018 9:38
4051,Who will win the Republican primary in Arizona's 8th District 2018 special election?,RNOM.AZ08S.2018,1/15/2018 19:00,2/28/2018 10:08
4148,Who will win the 2018 State House special election in Kentucky's 49th District?,049.KYH.2018,2/14/2018 19:00,2/28/2018 10:09
4147,Who will win the 2018 State House special election in Mississippi's 60th District?,060.MSH.2018,2/14/2018 19:00,3/15/2018 12:14
3766,Which party will win the House of Representatives special election in Pennsylvania's 18th district?,SPEC.PA18,10/8/2017 20:00,3/22/2018 8:30
4273,Who will win the Spring 2018 Wisconsin Supreme Court election?,SCWI.2018,4/1/2018 20:00,4/5/2018 11:20
3953,Which party will win the AZ-08 2018 special election to replace Trent Franks?,AZ08.2018,12/10/2017 19:00,4/25/2018 13:24
4371,Who will win the Democratic primary in Ohio's 12th District 2018 special election?,DNOM.OH12S.2018,5/2/2018 20:00,5/9/2018 9:10
4373,Who will win the Democratic primary in Ohio's 12th District 2018 general election?,DNOM.OH12.2018,5/2/2018 20:00,5/9/2018 9:12
4370,Who will win the GOP primary in Ohio's 12th District 2018 special election?,RNOM.OH12S.2018,5/2/2018 20:00,5/31/2018 10:00
4372,Who will win the GOP primary in Ohio's 12th District 2018 general election?,RNOM.OH12.2018,5/2/2018 20:00,5/31/2018 10:01
4473,Who will be elected San Francisco mayor in 2018 special election?,SF.2018,6/3/2018 20:00,6/14/2018 9:11
