,race_name,race_type,state,top_candidates,pollster,poll_results,poll_leader,poll_spread,date,winner,district
2513,pennsylvania senate,senate,PA,"['toomey', 'hughes']",ppp (d),"{'toomey': 44.0, 'hughes': 35.0}",toomey,9.0,2015-05-27,toomey,0
2514,pennsylvania senate,senate,PA,"['toomey', 'williams']",ppp (d),"{'toomey': 44.0, 'williams': 33.0}",toomey,11.0,2015-05-27,toomey,0
2515,pennsylvania senate,senate,PA,"['toomey', 'carney']",ppp (d),"{'toomey': 44.0, 'carney': 35.0}",toomey,9.0,2015-05-27,toomey,0
2516,north carolina senate,senate,NC,"['burr', 'hagan']",ppp (d),"{'burr': 49.0, 'hagan': 40.0}",burr,9.0,2015-06-03,burr,0
2517,north carolina senate,senate,NC,"['burr', 'blue']",ppp (d),"{'burr': 48.0, 'blue': 34.0}",burr,14.0,2015-06-03,burr,0
2518,north carolina senate,senate,NC,"['burr', 'martin']",ppp (d),"{'burr': 46.0, 'martin': 31.0}",burr,15.0,2015-06-03,burr,0
2519,north carolina senate,senate,NC,"['burr', 'mcintyre']",ppp (d),"{'burr': 43.0, 'mcintyre': 34.0}",burr,9.0,2015-06-03,burr,0
2520,north carolina senate,senate,NC,"['burr', 'jackson']",ppp (d),"{'burr': 48.0, 'jackson': 30.0}",burr,18.0,2015-06-03,burr,0
2521,ohio senate,senate,OH,"['portman', 'strickland']",ppp (d),"{'portman': 43.0, 'strickland': 41.0}",portman,2.0,2015-06-09,portman,0
2522,ohio senate,senate,OH,"['portman', 'sittenfeld']",ppp (d),"{'portman': 46.0, 'sittenfeld': 28.0}",portman,18.0,2015-06-09,portman,0
2523,ohio senate,senate,OH,"['portman', 'sittenfeld']",quinnipiac,"{'portman': 49.0, 'sittenfeld': 24.0}",portman,25.0,2015-06-22,portman,0
2524,pennsylvania senate,senate,PA,"['toomey', 'sestak']",quinnipiac,"{'toomey': 47.0, 'sestak': 36.0}",toomey,11.0,2015-06-22,toomey,0
2525,pennsylvania senate,senate,PA,"['toomey', 'pawlowski']",quinnipiac,"{'toomey': 52.0, 'pawlowski': 28.0}",toomey,24.0,2015-06-22,toomey,0
2526,florida senate,senate,FL,"['murphy', 'lopez-cantera']",quinnipiac,"{'murphy': 40.0, 'lopez-cantera': 28.0}",murphy,12.0,2015-06-22,<BLANK>,0
2527,florida senate,senate,FL,"['grayson', 'desantis']",quinnipiac,"{'grayson': 38.0, 'desantis': 32.0}",grayson,6.0,2015-06-22,<BLANK>,0
2528,florida senate,senate,FL,"['grayson', 'lopez-cantera']",quinnipiac,"{'grayson': 37.0, 'lopez-cantera': 31.0}",grayson,6.0,2015-06-22,<BLANK>,0
2529,florida senate,senate,FL,"['murphy', 'desantis']",quinnipiac,"{'murphy': 39.0, 'desantis': 31.0}",murphy,8.0,2015-06-22,<BLANK>,0
2530,ohio senate,senate,OH,"['strickland', 'portman']",quinnipiac,"{'portman': 40.0, 'strickland': 46.0}",strickland,6.0,2015-06-22,portman,0
2531,arkansas senate,senate,AR,"['beebe', 'boozman']",talk business poll*,"{'beebe': 45.0, 'boozman': 37.0}",beebe,8.0,2015-06-23,boozman,0
2532,north carolina senate,senate,NC,"['burr', 'blue']",ppp (d),"{'burr': 45.0, 'blue': 35.0}",burr,10.0,2015-07-09,burr,0
2533,north carolina senate,senate,NC,"['burr', 'shuler']",ppp (d),"{'burr': 44.0, 'shuler': 36.0}",burr,8.0,2015-07-09,burr,0
2534,north carolina senate,senate,NC,"['burr', 'mcintyre']",ppp (d),"{'burr': 44.0, 'mcintyre': 35.0}",burr,9.0,2015-07-09,burr,0
2535,north carolina senate,senate,NC,"['burr', 'miller']",ppp (d),"{'burr': 46.0, 'miller': 36.0}",burr,10.0,2015-07-09,burr,0
2536,north carolina senate,senate,NC,"['burr', 'wood']",ppp (d),"{'burr': 45.0, 'wood': 34.0}",burr,11.0,2015-07-09,burr,0
2537,north carolina senate,senate,NC,"['burr', 'martin']",ppp (d),"{'burr': 47.0, 'martin': 33.0}",burr,14.0,2015-07-09,burr,0
2538,new hampshire senate,senate,NH,"['ayotte', 'hassan']",wmur/unh,"{'ayotte': 47.0, 'hassan': 41.0}",ayotte,6.0,2015-07-23,hassan,0
2539,new hampshire senate,senate,NH,"['ayotte', 'hassan']",nbc news/marist,"{'ayotte': 50.0, 'hassan': 42.0}",ayotte,8.0,2015-07-26,hassan,0
2540,illinois senate,senate,IL,"['duckworth', 'kirk']",ppp (d),"{'duckworth': 42.0, 'kirk': 36.0}",duckworth,6.0,2015-07-29,duckworth,0
2541,missouri senate,senate,MO,"['blunt', 'kander']",ppp (d),"{'blunt': 40.0, 'kander': 35.0}",blunt,5.0,2015-08-11,blunt,0
2542,wisconsin senate,senate,WI,"['feingold', 'johnson']",marquette,"{'feingold': 47.0, 'johnson': 42.0}",feingold,5.0,2015-08-21,johnson,0
2543,ohio senate,senate,OH,"['portman', 'sittenfeld']",quinnipiac,"{'portman': 46.0, 'sittenfeld': 25.0}",portman,21.0,2015-08-25,portman,0
2544,ohio senate,senate,OH,"['strickland', 'portman']",quinnipiac,"{'strickland': 44.0, 'portman': 41.0}",strickland,3.0,2015-08-25,portman,0
2545,pennsylvania senate,senate,PA,"['toomey', 'sestak']",quinnipiac,"{'toomey': 48.0, 'sestak': 33.0}",toomey,15.0,2015-08-25,toomey,0
2546,pennsylvania senate,senate,PA,"['toomey', 'mcginty']",quinnipiac,"{'toomey': 48.0, 'mcginty': 32.0}",toomey,16.0,2015-08-25,toomey,0
2547,new hampshire senate,senate,NH,"['ayotte', 'hassan']",ppp (d),"{'ayotte': 44.0, 'hassan': 43.0}",ayotte,1.0,2015-08-26,hassan,0
2548,new hampshire senate,senate,NH,"['ayotte', 'pappas']",ppp (d),"{'ayotte': 45.0, 'pappas': 31.0}",ayotte,14.0,2015-08-26,<BLANK>,0
2549,pennsylvania senate,senate,PA,"['toomey', 'mcginty']",franklin & marshall,"{'toomey': 35.0, 'mcginty': 28.0}",toomey,7.0,2015-08-27,toomey,0
2550,pennsylvania senate,senate,PA,"['toomey', 'sestak']",franklin & marshall,"{'toomey': 41.0, 'sestak': 29.0}",toomey,12.0,2015-08-27,toomey,0
2551,new hampshire senate,senate,NH,"['ayotte', 'hassan']",nbc/marist,"{'ayotte': 48.0, 'hassan': 45.0}",ayotte,3.0,2015-09-06,hassan,0
2552,florida senate,senate,FL,"['murphy', 'lopez-cantera']",ppp (d),"{'murphy': 41.0, 'lopez-cantera': 35.0}",murphy,6.0,2015-09-15,<BLANK>,0
2553,florida senate,senate,FL,"['murphy', 'desantis']",ppp (d),"{'murphy': 40.0, 'desantis': 35.0}",murphy,5.0,2015-09-15,<BLANK>,0
2554,florida senate,senate,FL,"['grayson', 'lopez-cantera']",ppp (d),"{'grayson': 41.0, 'lopez-cantera': 34.0}",grayson,7.0,2015-09-15,<BLANK>,0
2555,florida senate,senate,FL,"['jolly', 'grayson']",ppp (d),"{'jolly': 39.0, 'grayson': 36.0}",jolly,3.0,2015-09-15,<BLANK>,0
2556,florida senate,senate,FL,"['murphy', 'jolly']",ppp (d),"{'murphy': 40.0, 'jolly': 35.0}",murphy,5.0,2015-09-15,<BLANK>,0
2557,florida senate,senate,FL,"['jolly', 'desantis']",ppp (d),"{'jolly': 18.0, 'desantis': 15.0, 'lopez-cantera': 14.0}",jolly,3.0,2015-09-15,<BLANK>,0
2558,florida senate,senate,FL,"['grayson', 'murphy']",ppp (d),"{'grayson': 33.0, 'murphy': 27.0}",grayson,6.0,2015-09-15,<BLANK>,0
2559,florida senate,senate,FL,"['desantis', 'grayson']",ppp (d),"{'grayson': 36.0, 'desantis': 37.0}",desantis,1.0,2015-09-15,<BLANK>,0
2560,pennsylvania senate,senate,PA,"['toomey', 'mcginty']",harper (r),"{'toomey': 48.0, 'mcginty': 34.0}",toomey,14.0,2015-09-21,toomey,0
2561,pennsylvania senate,senate,PA,"['toomey', 'sestak']",harper (r),"{'toomey': 47.0, 'sestak': 37.0}",toomey,10.0,2015-09-21,toomey,0
2562,north carolina senate,senate,NC,"['burr', 'shuler']",ppp (d),"{'burr': 42.0, 'shuler': 37.0}",burr,5.0,2015-09-30,burr,0
2563,north carolina senate,senate,NC,"['burr', 'rey']",ppp (d),"{'burr': 46.0, 'rey': 34.0}",burr,12.0,2015-09-30,burr,0
2564,wisconsin senate,senate,WI,"['feingold', 'johnson']",marquette,"{'feingold': 50.0, 'johnson': 36.0}",feingold,14.0,2015-10-01,johnson,0
2565,new hampshire senate,senate,NH,"['ayotte', 'hassan']",wmur/unh,"{'ayotte': 45.0, 'hassan': 43.0}",ayotte,2.0,2015-10-05,hassan,0
2566,ohio senate,senate,OH,"['portman', 'sittenfeld']",quinnipiac,"{'portman': 49.0, 'sittenfeld': 27.0}",portman,22.0,2015-10-08,portman,0
2567,ohio senate,senate,OH,"['strickland', 'portman']",quinnipiac,"{'strickland': 46.0, 'portman': 43.0}",strickland,3.0,2015-10-08,portman,0
2568,pennsylvania senate,senate,PA,"['toomey', 'mcginty']",quinnipiac,"{'toomey': 51.0, 'mcginty': 31.0}",toomey,20.0,2015-10-08,toomey,0
2569,pennsylvania senate,senate,PA,"['toomey', 'sestak']",quinnipiac,"{'toomey': 49.0, 'sestak': 34.0}",toomey,15.0,2015-10-08,toomey,0
2570,florida senate,senate,FL,"['murphy', 'lopez-cantera']",quinnipiac,"{'murphy': 37.0, 'lopez-cantera': 29.0}",murphy,8.0,2015-10-08,<BLANK>,0
2571,florida senate,senate,FL,"['grayson', 'lopez-cantera']",quinnipiac,"{'grayson': 35.0, 'lopez-cantera': 32.0}",grayson,3.0,2015-10-08,<BLANK>,0
2572,florida senate,senate,FL,"['murphy', 'desantis']",quinnipiac,"{'murphy': 37.0, 'desantis': 30.0}",murphy,7.0,2015-10-08,<BLANK>,0
2573,florida senate,senate,FL,"['grayson', 'desantis']",quinnipiac,"{'grayson': 37.0, 'desantis': 31.0}",grayson,6.0,2015-10-08,<BLANK>,0
2574,california senate,senate,CA,"['harris', 'sanchez']",field,"{'harris': 30.0, 'sanchez': 17.0, 'chavez': 9.0, 'del beccaro': 6.0, 'sundheim': 3.0}",harris,13.0,2015-10-09,harris,0
2575,new hampshire senate,senate,NH,"['ayotte', 'hassan']",gravis,"{'ayotte': 52.0, 'hassan': 42.0}",ayotte,10.0,2015-10-09,hassan,0
2576,connecticut senate,senate,CT,"['blumenthal', 'kudlow']",quinnipiac,"{'blumenthal': 61.0, 'kudlow': 27.0}",blumenthal,34.0,2015-10-15,blumenthal,0
2577,connecticut senate,senate,CT,"['blumenthal', 'wolf']",quinnipiac,"{'blumenthal': 61.0, 'wolf': 26.0}",blumenthal,35.0,2015-10-15,blumenthal,0
2578,pennsylvania senate,senate,PA,"['toomey', 'mcginty']",ppp (d),"{'toomey': 43.0, 'mcginty': 36.0}",toomey,7.0,2015-10-15,toomey,0
2579,pennsylvania senate,senate,PA,"['toomey', 'sestak']",ppp (d),"{'toomey': 41.0, 'sestak': 38.0}",toomey,3.0,2015-10-15,toomey,0
2580,pennsylvania senate,senate,PA,"['toomey', 'fetterman']",ppp (d),"{'toomey': 41.0, 'fetterman': 34.0}",toomey,7.0,2015-10-15,toomey,0
2581,new hampshire senate,senate,NH,"['hassan', 'ayotte']",ppp (d),"{'ayotte': 43.0, 'hassan': 44.0}",hassan,1.0,2015-10-21,hassan,0
2582,wisconsin senate,senate,WI,"['feingold', 'johnson']",wpr/st. norbert,"{'feingold': 51.0, 'johnson': 40.0}",feingold,11.0,2015-10-22,johnson,0
2583,north carolina senate,senate,NC,"['burr', 'ross']",ppp (d),"{'burr': 43.0, 'ross': 39.0}",burr,4.0,2015-10-29,burr,0
2584,wisconsin senate,senate,WI,"['feingold', 'johnson']",marquette,"{'feingold': 49.0, 'johnson': 38.0}",feingold,11.0,2015-11-21,johnson,0
2585,maryland senate,senate,MD,"['van hollen', 'edwards']",baltimore sun/univ. of baltimore,"{'van hollen': 45.0, 'edwards': 31.0}",van hollen,14.0,2015-11-22,van hollen,0
2586,maryland senate,senate,MD,"['cummings', 'van hollen']",baltimore sun/univ. of baltimore,"{'cummings': 40.0, 'van hollen': 28.0, 'edwards': 19.0}",cummings,12.0,2015-11-22,van hollen,0
2587,new hampshire senate,senate,NH,"['ayotte', 'hassan']",ppp (d),"{'ayotte': 42.0, 'hassan': 42.0}",,,2015-12-07,hassan,0
2588,north carolina senate,senate,NC,"['burr', 'ross']",ppp (d),"{'burr': 46.0, 'ross': 35.0}",burr,11.0,2015-12-09,burr,0
2589,california senate,senate,CA,"['harris', 'sanchez']",field,"{'harris': 27.0, 'sanchez': 15.0, 'chavez': 7.0, 'del beccaro': 3.0, 'sundheim': 3.0}",harris,12.0,2016-01-07,harris,0
2590,new hampshire senate,senate,NH,"['ayotte', 'hassan']",ppp (d),"{'ayotte': 44.0, 'hassan': 42.0}",ayotte,2.0,2016-01-07,hassan,0
2591,maryland senate,senate,MD,"['van hollen', 'edwards']",gonzales research,"{'van hollen': 38.0, 'edwards': 36.0}",van hollen,2.0,2016-01-19,van hollen,0
2592,new hampshire senate,senate,NH,"['ayotte', 'hassan']",gravis,"{'ayotte': 49.0, 'hassan': 42.0}",ayotte,7.0,2016-01-20,hassan,0
