Date,State,Race,Poll,Result,Spread,Year,Lead,Party,Party Class
2012-04-19,Missouri,Missouri Senate - Akin vs. McCaskill,Rasmussen Reports,"Akin 48, McCaskill 43",Akin +5,2012,Akin,R,0.0
2012-07-28,Missouri,Missouri Senate - Akin vs. McCaskill,Post-Dispatch/Mason-Dixon,"McCaskill 44, Akin 49",Akin +5,2012,Akin,R,0.0
2012-08-01,Missouri,Missouri Senate - Akin vs. McCaskill,Rasmussen Reports,"McCaskill 44, Akin 47",Akin +3,2012,Akin,R,0.0
2012-08-13,Missouri,Missouri Senate - Akin vs. McCaskill,SurveyUSA*,"McCaskill 40, Akin 51",Akin +11,2012,Akin,R,0.0
2012-08-21,Missouri,Missouri Senate - Akin vs. McCaskill,PPP (D),"McCaskill 43, Akin 44",Akin +1,2012,Akin,R,0.0
2012-09-18,Missouri,Missouri Senate - Akin vs. McCaskill,Gravis Marketing,"McCaskill 40, Akin 44",Akin +4,2012,Akin,R,0.0
2014-02-13,North Carolina,North Carolina Senate - Alexander vs. Hagan,PPP (D),"Alexander 45, Hagan 38",Alexander +7,2014,Alexander,,
2014-03-11,North Carolina,North Carolina Senate - Alexander vs. Hagan,PPP (D),"Alexander 45, Hagan 43",Alexander +2,2014,Alexander,,
2014-04-02,North Carolina,North Carolina Senate - Alexander vs. Hagan,SurveyUSA,"Alexander 46, Hagan 44",Alexander +2,2014,Alexander,,
2014-04-08,North Carolina,North Carolina Senate - Alexander vs. Hagan,PPP (D),"Alexander 43, Hagan 42",Alexander +1,2014,Alexander,,
2014-05-02,Tennessee,Tennessee Senate - Alexander vs. Ball,Rasmussen Reports,"Alexander 51, Ball 25",Alexander +26,2014,Alexander,R,0.0
2014-05-02,Tennessee,Tennessee Senate - Alexander vs. Adams,Rasmussen Reports,"Alexander 50, Adams 26",Alexander +24,2014,Alexander,R,0.0
2014-07-28,Tennessee,Tennessee Senate - Alexander vs. Ball,CBS News/NYT/YouGov,"Alexander 48, Ball 33",Alexander +15,2014,Alexander,R,0.0
2014-07-28,Tennessee,Tennessee Senate - Alexander vs. Adams,CBS News/NYT/YouGov,"Alexander 48, Adams 35",Alexander +13,2014,Alexander,R,0.0
2014-08-14,Tennessee,Tennessee Senate - Alexander vs. Ball,Rasmussen Reports,"Alexander 47, Ball 32",Alexander +15,2014,Alexander,R,0.0
2014-09-07,Tennessee,Tennessee Senate - Alexander vs. Ball,CBS News/NYT/YouGov,"Alexander 47, Ball 32",Alexander +15,2014,Alexander,R,0.0
2014-10-05,Tennessee,Tennessee Senate - Alexander vs. Ball,CBS News/NYT/YouGov,"Alexander 53, Ball 32",Alexander +21,2014,Alexander,R,0.0
2014-10-26,Tennessee,Tennessee Senate - Alexander vs. Ball,CBS News/NYT/YouGov,"Alexander 55, Ball 33",Alexander +22,2014,Alexander,R,0.0
2011-04-08,Virginia,Virginia Senate - Allen vs. Kaine,Roanoke College,"Allen 45, Kaine 32",Allen +13,2011,Allen,,
2011-09-15,Virginia,Virginia Senate - Allen vs. Kaine,Quinnipiac,"Allen 45, Kaine 44",Allen +1,2011,Allen,,
2011-09-25,Virginia,Virginia Senate - Allen vs. Kaine,Roanoke College,"Allen 42, Kaine 39",Allen +3,2011,Allen,,
2011-12-21,Virginia,Virginia Senate - Allen vs. Kaine,Quinnipiac,"Kaine 42, Allen 44",Allen +2,2011,Allen,,
2012-02-20,Virginia,Virginia Senate - Allen vs. Kaine,CNU/Times-Dispatch,"Kaine 40, Allen 42",Allen +2,2012,Allen,,
2012-02-28,Virginia,Virginia Senate - Allen vs. Kaine,Roanoke College,"Kaine 37, Allen 45",Allen +8,2012,Allen,,
2012-03-21,Virginia,Virginia Senate - Allen vs. Kaine,Rasmussen Reports,"Kaine 44, Allen 46",Allen +2,2012,Allen,,
2012-04-10,Virginia,Virginia Senate - Allen vs. Kaine,Roanoke College,"Kaine 39, Allen 46",Allen +7,2012,Allen,,
2012-04-24,Virginia,Virginia Senate - Allen vs. Kaine,Rasmussen Reports,"Kaine 45, Allen 46",Allen +1,2012,Allen,,
2012-06-26,Virginia,Virginia Senate - Allen vs. Kaine,WeAskAmerica,"Allen 44, Kaine 35",Allen +9,2012,Allen,,
2012-07-19,Virginia,Virginia Senate - Allen vs. Kaine,Quinnipiac,"Allen 46, Kaine 44",Allen +2,2012,Allen,,
2012-09-11,Virginia,Virginia Senate - Allen vs. Kaine,Gravis Marketing,"Kaine 43, Allen 48",Allen +5,2012,Allen,,
2012-10-11,Virginia,Virginia Senate - Allen vs. Kaine,WeAskAmerica,"Kaine 41, Allen 46",Allen +5,2012,Allen,,
2012-10-27,Virginia,Virginia Senate - Allen vs. Kaine,Gravis Marketing,"Kaine 46, Allen 48",Allen +2,2012,Allen,,
2012-10-31,Virginia,Virginia Senate - Allen vs. Kaine,Roanoke College,"Kaine 42, Allen 47",Allen +5,2012,Allen,,
2010-06-06,Nevada,Nevada Senate - Angle vs. Reid,LVRJ/Mason-Dixon,"Angle 44, Reid 41",Angle +3,2010,Angle,,
2010-06-10,Nevada,Nevada Senate - Angle vs. Reid,Rasmussen Reports,"Angle 50, Reid 39",Angle +11,2010,Angle,,
2010-06-24,Nevada,Nevada Senate - Angle vs. Reid,Rasmussen Reports,"Reid 41, Angle 48",Angle +7,2010,Angle,,
2010-07-13,Nevada,Nevada Senate - Angle vs. Reid,Rasmussen Reports,"Reid 43, Angle 46",Angle +3,2010,Angle,,
2010-08-18,Nevada,Nevada Senate - Angle vs. Reid,Rasmussen Reports,"Reid 48, Angle 50",Angle +2,2010,Angle,,
2010-09-14,Nevada,Nevada Senate - Angle vs. Reid,FOX News/POR-Rasmussen,"Angle 45, Reid 44",Angle +1,2010,Angle,,
2010-09-14,Nevada,Nevada Senate - Angle vs. Reid,FOX News/POR-Rasmussen,"Reid 44, Angle 45",Angle +1,2010,Angle,,
2010-09-15,Nevada,Nevada Senate - Angle vs. Reid,CNN/Time,"Angle 42, Reid 41",Angle +1,2010,Angle,,
2010-09-21,Nevada,Nevada Senate - Angle vs. Reid,FOX News/POR-Rasmussen,"Angle 46, Reid 45",Angle +1,2010,Angle,,
2010-10-05,Nevada,Nevada Senate - Angle vs. Reid,FOX News/POR-Rasmussen,"Angle 49, Reid 46",Angle +3,2010,Angle,,
2010-10-06,Nevada,Nevada Senate - Angle vs. Reid,CNN/Time,"Angle 42, Reid 40",Angle +2,2010,Angle,,
2010-10-07,Nevada,Nevada Senate - Angle vs. Reid,Rasmussen Reports,"Angle 50, Reid 46",Angle +4,2010,Angle,,
2010-10-12,Nevada,Nevada Senate - Angle vs. Reid,FOX News/POR-Rasmussen,"Angle 49, Reid 47",Angle +2,2010,Angle,,
2010-10-13,Nevada,Nevada Senate - Angle vs. Reid,Rasmussen Reports,"Angle 49, Reid 48",Angle +1,2010,Angle,,
2010-10-14,Nevada,Nevada Senate - Angle vs. Reid,LVRJ/Mason-Dixon,"Angle 48, Reid 46",Angle +2,2010,Angle,,
2010-10-18,Nevada,Nevada Senate - Angle vs. Reid,Rasmussen Reports,"Angle 50, Reid 47",Angle +3,2010,Angle,,
2015-03-10,Florida,Florida Senate - Atwater vs. Wasserman Schultz,Mason-Dixon,"Atwater 45, Wasserman Schultz 35",Atwater +10,2015,Atwater,,
2015-03-10,Florida,Florida Senate - Atwater vs. Murphy,Mason-Dixon,"Atwater 46, Murphy 32",Atwater +14,2015,Atwater,,
2015-03-25,Florida,Florida Senate - Atwater vs. Grayson,PPP (D),"Atwater 41, Grayson 40",Atwater +1,2015,Atwater,,
2015-03-25,Florida,Florida Senate - Atwater vs. Murphy,PPP (D),"Atwater 41, Murphy 39",Atwater +2,2015,Atwater,,
2015-04-06,Florida,Florida Senate - Atwater vs. Grayson,Quinnipiac,"Atwater 42, Grayson 32",Atwater +10,2015,Atwater,,
2015-04-06,Florida,Florida Senate - Atwater vs. Murphy,Quinnipiac,"Atwater 38, Murphy 34",Atwater +4,2015,Atwater,,
2010-04-20,New Hampshire,New Hampshire Senate - Ayotte vs. Hodes,PPP (D),"Ayotte 47, Hodes 40",Ayotte +7,2010,Ayotte,R,0.0
2010-04-30,New Hampshire,New Hampshire Senate - Ayotte vs. Hodes,WMUR/UNH,"Ayotte 47, Hodes 32",Ayotte +15,2010,Ayotte,R,0.0
2010-05-13,New Hampshire,New Hampshire Senate - Ayotte vs. Hodes,Rasmussen Reports,"Ayotte 50, Hodes 38",Ayotte +12,2010,Ayotte,R,0.0
2010-07-14,New Hampshire,New Hampshire Senate - Ayotte vs. Hodes,Rasmussen Reports,"Ayotte 49, Hodes 37",Ayotte +12,2010,Ayotte,R,0.0
2010-07-27,New Hampshire,New Hampshire Senate - Ayotte vs. Hodes,PPP (D),"Ayotte 45, Hodes 42",Ayotte +3,2010,Ayotte,R,0.0
2010-07-29,New Hampshire,New Hampshire Senate - Ayotte vs. Hodes,WMUR/UNH,"Ayotte 45, Hodes 37",Ayotte +8,2010,Ayotte,R,0.0
2010-08-09,New Hampshire,New Hampshire Senate - Ayotte vs. Hodes,Rasmussen Reports,"Ayotte 51, Hodes 38",Ayotte +13,2010,Ayotte,R,0.0
2010-09-15,New Hampshire,New Hampshire Senate - Ayotte vs. Hodes,PPP (D),"Ayotte 47, Hodes 43",Ayotte +4,2010,Ayotte,R,0.0
2010-09-16,New Hampshire,New Hampshire Senate - Ayotte vs. Hodes,Rasmussen Reports,"Ayotte 51, Hodes 44",Ayotte +7,2010,Ayotte,R,0.0
2010-09-27,New Hampshire,New Hampshire Senate - Ayotte vs. Hodes,ARG,"Ayotte 46, Hodes 32",Ayotte +14,2010,Ayotte,R,0.0
2010-09-30,New Hampshire,New Hampshire Senate - Ayotte vs. Hodes,WMUR/UNH,"Ayotte 50, Hodes 35",Ayotte +15,2010,Ayotte,R,0.0
2010-10-07,New Hampshire,New Hampshire Senate - Ayotte vs. Hodes,ARG,"Ayotte 47, Hodes 42",Ayotte +5,2010,Ayotte,R,0.0
2010-10-11,New Hampshire,New Hampshire Senate - Ayotte vs. Hodes,Rasmussen Reports,"Ayotte 51, Hodes 44",Ayotte +7,2010,Ayotte,R,0.0
2010-10-14,New Hampshire,New Hampshire Senate - Ayotte vs. Hodes,WMUR/UNH,"Ayotte 50, Hodes 35",Ayotte +15,2010,Ayotte,R,0.0
2014-12-04,New Hampshire,New Hampshire Senate - Ayotte vs. Hassan,NH Journal/NE College,"Ayotte 48, Hassan 43",Ayotte +5,2014,Ayotte,R,0.0
2015-04-17,New Hampshire,New Hampshire Senate - Ayotte vs. Kuster,PPP (D),"Ayotte 49, Kuster 38",Ayotte +11,2015,Ayotte,R,0.0
2015-05-06,New Hampshire,New Hampshire Senate - Ayotte vs. Shea-Porter,Dartmouth,"Ayotte 45, Shea-Porter 25",Ayotte +20,2015,Ayotte,R,0.0
2015-05-06,New Hampshire,New Hampshire Senate - Ayotte vs. Hassan,Dartmouth,"Ayotte 38, Hassan 33",Ayotte +5,2015,Ayotte,R,0.0
2015-05-27,New Hampshire,New Hampshire Senate - Ayotte vs. Hassan,WMUR/UNH,"Ayotte 45, Hassan 43",Ayotte +2,2015,Ayotte,R,0.0
2015-07-23,New Hampshire,New Hampshire Senate - Ayotte vs. Hassan,WMUR/UNH,"Ayotte 47, Hassan 41",Ayotte +6,2015,Ayotte,R,0.0
2015-07-26,New Hampshire,New Hampshire Senate - Ayotte vs. Hassan,NBC News/Marist,"Ayotte 50, Hassan 42",Ayotte +8,2015,Ayotte,R,0.0
2015-08-26,New Hampshire,New Hampshire Senate - Ayotte vs. Hassan,PPP (D),"Ayotte 44, Hassan 43",Ayotte +1,2015,Ayotte,R,0.0
2015-08-26,New Hampshire,New Hampshire Senate - Ayotte vs. Pappas,PPP (D),"Ayotte 45, Pappas 31",Ayotte +14,2015,Ayotte,R,0.0
2015-09-06,New Hampshire,New Hampshire Senate - Ayotte vs. Hassan,NBC/Marist,"Ayotte 48, Hassan 45",Ayotte +3,2015,Ayotte,R,0.0
2015-10-05,New Hampshire,New Hampshire Senate - Ayotte vs. Hassan,WMUR/UNH,"Ayotte 45, Hassan 43",Ayotte +2,2015,Ayotte,R,0.0
2015-10-09,New Hampshire,New Hampshire Senate - Ayotte vs. Hassan,Gravis,"Ayotte 52, Hassan 42",Ayotte +10,2015,Ayotte,R,0.0
2016-01-07,New Hampshire,New Hampshire Senate - Ayotte vs. Hassan,PPP (D),"Ayotte 44, Hassan 42",Ayotte +2,2016,Ayotte,R,0.0
2016-01-20,New Hampshire,New Hampshire Senate - Ayotte vs. Hassan,Gravis,"Ayotte 49, Hassan 42",Ayotte +7,2016,Ayotte,R,0.0
2016-01-28,New Hampshire,New Hampshire Senate - Ayotte vs. Hassan,NBC/WSJ/Marist,"Ayotte 45, Hassan 40",Ayotte +5,2016,Ayotte,R,0.0
2016-03-03,New Hampshire,New Hampshire Senate - Ayotte vs. Hassan,WMUR/UNH,"Ayotte 45, Hassan 41",Ayotte +4,2016,Ayotte,R,0.0
2016-04-20,New Hampshire,New Hampshire Senate - Ayotte vs. Hassan,WMUR/UNH,"Ayotte 43, Hassan 42",Ayotte +1,2016,Ayotte,R,0.0
2016-05-09,New Hampshire,New Hampshire Senate - Ayotte vs. Hassan,Dartmouth,"Ayotte 37, Hassan 35",Ayotte +2,2016,Ayotte,R,0.0
2016-05-31,New Hampshire,New Hampshire Senate - Ayotte vs. Hassan,Boston Herald/FPU,"Ayotte 48, Hassan 47",Ayotte +1,2016,Ayotte,R,0.0
2016-06-29,New Hampshire,New Hampshire Senate - Ayotte vs. Hassan,ARG,"Ayotte 51, Hassan 42",Ayotte +9,2016,Ayotte,R,0.0
2016-09-07,New Hampshire,New Hampshire Senate - Ayotte vs. Hassan,Emerson,"Hassan 46, Ayotte 48",Ayotte +2,2016,Ayotte,R,0.0
2016-09-11,New Hampshire,New Hampshire Senate - Ayotte vs. Hassan,NBC/WSJ/Marist,"Ayotte 52, Hassan 44",Ayotte +8,2016,Ayotte,R,0.0
2016-09-21,New Hampshire,New Hampshire Senate - Ayotte vs. Hassan,Monmouth*,"Ayotte 47, Hassan 45",Ayotte +2,2016,Ayotte,R,0.0
2016-10-06,New Hampshire,New Hampshire Senate - Ayotte vs. Hassan,Boston Globe/Suffolk*,"Ayotte 47, Hassan 41",Ayotte +6,2016,Ayotte,R,0.0
2016-10-13,New Hampshire,New Hampshire Senate - Ayotte vs. Hassan,UMass Lowell/7News,"Ayotte 45, Hassan 44",Ayotte +1,2016,Ayotte,R,0.0
2016-10-25,New Hampshire,New Hampshire Senate - Ayotte vs. Hassan,UMass Amherst/WBZ*,"Ayotte 48, Hassan 44",Ayotte +4,2016,Ayotte,R,0.0
2016-10-26,New Hampshire,New Hampshire Senate - Ayotte vs. Hassan,NBC/WSJ/Marist,"Ayotte 48, Hassan 47",Ayotte +1,2016,Ayotte,R,0.0
2016-10-28,New Hampshire,New Hampshire Senate - Ayotte vs. Hassan,Emerson,"Ayotte 50, Hassan 44",Ayotte +6,2016,Ayotte,R,0.0
2016-11-03,New Hampshire,New Hampshire Senate - Ayotte vs. Hassan,WBUR/MassINC,"Ayotte 51, Hassan 45",Ayotte +6,2016,Ayotte,R,0.0
2016-11-03,New Hampshire,New Hampshire Senate - Ayotte vs. Hassan,Boston Globe/Suffolk*,"Ayotte 44, Hassan 42",Ayotte +2,2016,Ayotte,R,0.0
2016-11-04,New Hampshire,New Hampshire Senate - Ayotte vs. Hassan,Gravis,"Ayotte 46, Hassan 44",Ayotte +2,2016,Ayotte,R,0.0
2016-11-07,New Hampshire,New Hampshire Senate - Ayotte vs. Hassan,Emerson,"Ayotte 49, Hassan 46",Ayotte +3,2016,Ayotte,R,0.0
2011-10-27,Wisconsin,Wisconsin Senate - Neumann vs. Baldwin,PPP (D),"Baldwin 44, Neumann 43",Baldwin +1,2011,Baldwin,D,1.0
2011-10-27,Wisconsin,Wisconsin Senate - Neumann vs. Baldwin,PPP (D),"Baldwin 44, Neumann 43",Baldwin +1,2011,Baldwin,D,1.0
2011-10-28,Wisconsin,Wisconsin Senate - Neumann vs. Baldwin,Rasmussen Reports,"Baldwin 44, Neumann 43",Baldwin +1,2011,Baldwin,D,1.0
2011-10-28,Wisconsin,Wisconsin Senate - Neumann vs. Baldwin,Rasmussen Reports,"Baldwin 44, Neumann 43",Baldwin +1,2011,Baldwin,D,1.0
2012-02-29,Wisconsin,Wisconsin Senate - Thompson vs. Baldwin,PPP (D),"Thompson 45, Baldwin 46",Baldwin +1,2012,Baldwin,D,1.0
2012-02-29,Wisconsin,Wisconsin Senate - Thompson vs. Baldwin,PPP (D),"Thompson 45, Baldwin 46",Baldwin +1,2012,Baldwin,D,1.0
2012-07-11,Wisconsin,Wisconsin Senate - Hovde vs. Baldwin,Marquette University,"Baldwin 44, Hovde 38",Baldwin +6,2012,Baldwin,D,1.0
2012-07-11,Wisconsin,Wisconsin Senate - Hovde vs. Baldwin,Marquette University,"Baldwin 44, Hovde 38",Baldwin +6,2012,Baldwin,D,1.0
2012-07-28,Wisconsin,Wisconsin Senate - Hovde vs. Baldwin,Rasmussen Reports,"Baldwin 45, Hovde 42",Baldwin +3,2012,Baldwin,D,1.0
2012-07-28,Wisconsin,Wisconsin Senate - Hovde vs. Baldwin,Rasmussen Reports,"Baldwin 45, Hovde 42",Baldwin +3,2012,Baldwin,D,1.0
2012-07-28,Wisconsin,Wisconsin Senate - Thompson vs. Baldwin,Rasmussen Reports,"Thompson 41, Baldwin 48",Baldwin +7,2012,Baldwin,D,1.0
2012-07-28,Wisconsin,Wisconsin Senate - Thompson vs. Baldwin,Rasmussen Reports,"Thompson 41, Baldwin 48",Baldwin +7,2012,Baldwin,D,1.0
2012-07-28,Wisconsin,Wisconsin Senate - Thompson vs. Baldwin,Rasmussen Reports,"Baldwin 48, Thompson 41",Baldwin +7,2012,Baldwin,D,1.0
2012-07-28,Wisconsin,Wisconsin Senate - Thompson vs. Baldwin,Rasmussen Reports,"Baldwin 48, Thompson 41",Baldwin +7,2012,Baldwin,D,1.0
2012-08-08,Wisconsin,Wisconsin Senate - Hovde vs. Baldwin,CBS/NYT/Quinnipiac,"Baldwin 47, Hovde 43",Baldwin +4,2012,Baldwin,D,1.0
2012-08-08,Wisconsin,Wisconsin Senate - Hovde vs. Baldwin,CBS/NYT/Quinnipiac,"Baldwin 47, Hovde 43",Baldwin +4,2012,Baldwin,D,1.0
2012-08-08,Wisconsin,Wisconsin Senate - Hovde vs. Baldwin,Marquette University,"Baldwin 44, Hovde 41",Baldwin +3,2012,Baldwin,D,1.0
2012-08-08,Wisconsin,Wisconsin Senate - Hovde vs. Baldwin,Marquette University,"Baldwin 44, Hovde 41",Baldwin +3,2012,Baldwin,D,1.0
2012-09-19,Wisconsin,Wisconsin Senate - Thompson vs. Baldwin,Marquette University,"Baldwin 50, Thompson 41",Baldwin +9,2012,Baldwin,D,1.0
2012-09-19,Wisconsin,Wisconsin Senate - Thompson vs. Baldwin,Marquette University,"Baldwin 50, Thompson 41",Baldwin +9,2012,Baldwin,D,1.0
2012-09-20,Wisconsin,Wisconsin Senate - Thompson vs. Baldwin,NBC/WSJ/Marist,"Baldwin 48, Thompson 46",Baldwin +2,2012,Baldwin,D,1.0
2012-09-20,Wisconsin,Wisconsin Senate - Thompson vs. Baldwin,NBC/WSJ/Marist,"Baldwin 48, Thompson 46",Baldwin +2,2012,Baldwin,D,1.0
2012-09-21,Wisconsin,Wisconsin Senate - Thompson vs. Baldwin,Rasmussen Reports,"Baldwin 49, Thompson 46",Baldwin +3,2012,Baldwin,D,1.0
2012-09-21,Wisconsin,Wisconsin Senate - Thompson vs. Baldwin,Rasmussen Reports,"Baldwin 49, Thompson 46",Baldwin +3,2012,Baldwin,D,1.0
2012-09-21,Wisconsin,Wisconsin Senate - Thompson vs. Baldwin,PPP (D),"Baldwin 49, Thompson 45",Baldwin +4,2012,Baldwin,D,1.0
2012-09-21,Wisconsin,Wisconsin Senate - Thompson vs. Baldwin,PPP (D),"Baldwin 49, Thompson 45",Baldwin +4,2012,Baldwin,D,1.0
2012-09-24,Wisconsin,Wisconsin Senate - Thompson vs. Baldwin,WeAskAmerica,"Baldwin 52, Thompson 40",Baldwin +12,2012,Baldwin,D,1.0
2012-09-24,Wisconsin,Wisconsin Senate - Thompson vs. Baldwin,WeAskAmerica,"Baldwin 52, Thompson 40",Baldwin +12,2012,Baldwin,D,1.0
2012-10-03,Wisconsin,Wisconsin Senate - Thompson vs. Baldwin,Marquette University,"Baldwin 48, Thompson 44",Baldwin +4,2012,Baldwin,D,1.0
2012-10-03,Wisconsin,Wisconsin Senate - Thompson vs. Baldwin,Marquette University,"Baldwin 48, Thompson 44",Baldwin +4,2012,Baldwin,D,1.0
2012-10-08,Wisconsin,Wisconsin Senate - Thompson vs. Baldwin,PPP (D),"Baldwin 49, Thompson 46",Baldwin +3,2012,Baldwin,D,1.0
2012-10-08,Wisconsin,Wisconsin Senate - Thompson vs. Baldwin,PPP (D),"Baldwin 49, Thompson 46",Baldwin +3,2012,Baldwin,D,1.0
2012-10-11,Wisconsin,Wisconsin Senate - Thompson vs. Baldwin,CBS/NYT/Quinnipiac,"Baldwin 48, Thompson 46",Baldwin +2,2012,Baldwin,D,1.0
2012-10-11,Wisconsin,Wisconsin Senate - Thompson vs. Baldwin,CBS/NYT/Quinnipiac,"Baldwin 48, Thompson 46",Baldwin +2,2012,Baldwin,D,1.0
2012-10-12,Wisconsin,Wisconsin Senate - Thompson vs. Baldwin,Rasmussen Reports,"Baldwin 51, Thompson 47",Baldwin +4,2012,Baldwin,D,1.0
2012-10-12,Wisconsin,Wisconsin Senate - Thompson vs. Baldwin,Rasmussen Reports,"Baldwin 51, Thompson 47",Baldwin +4,2012,Baldwin,D,1.0
2012-10-18,Wisconsin,Wisconsin Senate - Thompson vs. Baldwin,NBC/WSJ/Marist,"Baldwin 49, Thompson 45",Baldwin +4,2012,Baldwin,D,1.0
2012-10-18,Wisconsin,Wisconsin Senate - Thompson vs. Baldwin,NBC/WSJ/Marist,"Baldwin 49, Thompson 45",Baldwin +4,2012,Baldwin,D,1.0
2012-10-21,Wisconsin,Wisconsin Senate - Thompson vs. Baldwin,Mason-Dixon,"Baldwin 47, Thompson 45",Baldwin +2,2012,Baldwin,D,1.0
2012-10-21,Wisconsin,Wisconsin Senate - Thompson vs. Baldwin,Mason-Dixon,"Baldwin 47, Thompson 45",Baldwin +2,2012,Baldwin,D,1.0
2012-10-31,Wisconsin,Wisconsin Senate - Thompson vs. Baldwin,Marquette University,"Baldwin 47, Thompson 43",Baldwin +4,2012,Baldwin,D,1.0
2012-10-31,Wisconsin,Wisconsin Senate - Thompson vs. Baldwin,Marquette University,"Baldwin 47, Thompson 43",Baldwin +4,2012,Baldwin,D,1.0
2012-11-01,Wisconsin,Wisconsin Senate - Thompson vs. Baldwin,NBC/WSJ/Marist,"Baldwin 48, Thompson 47",Baldwin +1,2012,Baldwin,D,1.0
2012-11-01,Wisconsin,Wisconsin Senate - Thompson vs. Baldwin,NBC/WSJ/Marist,"Baldwin 48, Thompson 47",Baldwin +1,2012,Baldwin,D,1.0
2012-11-02,Wisconsin,Wisconsin Senate - Thompson vs. Baldwin,WeAskAmerica,"Baldwin 49, Thompson 46",Baldwin +3,2012,Baldwin,D,1.0
2012-11-02,Wisconsin,Wisconsin Senate - Thompson vs. Baldwin,WeAskAmerica,"Baldwin 49, Thompson 46",Baldwin +3,2012,Baldwin,D,1.0
2012-11-03,Wisconsin,Wisconsin Senate - Thompson vs. Baldwin,PPP (D),"Baldwin 51, Thompson 48",Baldwin +3,2012,Baldwin,D,1.0
2012-11-03,Wisconsin,Wisconsin Senate - Thompson vs. Baldwin,PPP (D),"Baldwin 51, Thompson 48",Baldwin +3,2012,Baldwin,D,1.0
2018-06-20,Wisconsin,Wisconsin Senate - Nicholson vs. Baldwin,Marquette,"Baldwin 50, Nicholson 39",Baldwin +11,2018,Baldwin,D,1.0
2018-06-20,Wisconsin,Wisconsin Senate - Nicholson vs. Baldwin,Marquette,"Baldwin 50, Nicholson 39",Baldwin +11,2018,Baldwin,D,1.0
2018-06-20,Wisconsin,Wisconsin Senate - Vukmir vs. Baldwin,Marquette,"Baldwin 49, Vukmir 40",Baldwin +9,2018,Baldwin,D,1.0
2018-06-20,Wisconsin,Wisconsin Senate - Vukmir vs. Baldwin,Marquette,"Baldwin 49, Vukmir 40",Baldwin +9,2018,Baldwin,D,1.0
2018-07-26,Wisconsin,Wisconsin Senate - Vukmir vs. Baldwin,NBC News/Marist,"Baldwin 55, Vukmir 38",Baldwin +17,2018,Baldwin,D,1.0
2018-07-26,Wisconsin,Wisconsin Senate - Vukmir vs. Baldwin,NBC News/Marist,"Baldwin 55, Vukmir 38",Baldwin +17,2018,Baldwin,D,1.0
2018-07-26,Wisconsin,Wisconsin Senate - Nicholson vs. Baldwin,NBC News/Marist,"Baldwin 54, Nicholson 39",Baldwin +15,2018,Baldwin,D,1.0
2018-07-26,Wisconsin,Wisconsin Senate - Nicholson vs. Baldwin,NBC News/Marist,"Baldwin 54, Nicholson 39",Baldwin +15,2018,Baldwin,D,1.0
2018-07-30,Wisconsin,Wisconsin Senate - Nicholson vs. Baldwin,Emerson,"Baldwin 49, Nicholson 40",Baldwin +9,2018,Baldwin,D,1.0
2018-07-30,Wisconsin,Wisconsin Senate - Nicholson vs. Baldwin,Emerson,"Baldwin 49, Nicholson 40",Baldwin +9,2018,Baldwin,D,1.0
2018-07-30,Wisconsin,Wisconsin Senate - Vukmir vs. Baldwin,Emerson,"Baldwin 50, Vukmir 36",Baldwin +14,2018,Baldwin,D,1.0
2018-07-30,Wisconsin,Wisconsin Senate - Vukmir vs. Baldwin,Emerson,"Baldwin 50, Vukmir 36",Baldwin +14,2018,Baldwin,D,1.0
2018-08-22,Wisconsin,Wisconsin Senate - Vukmir vs. Baldwin,Marquette,"Baldwin 49, Vukmir 47",Baldwin +2,2018,Baldwin,D,1.0
2018-08-22,Wisconsin,Wisconsin Senate - Vukmir vs. Baldwin,Marquette,"Baldwin 49, Vukmir 47",Baldwin +2,2018,Baldwin,D,1.0
2018-08-28,Wisconsin,Wisconsin Senate - Vukmir vs. Baldwin,Suffolk,"Baldwin 50, Vukmir 42",Baldwin +8,2018,Baldwin,D,1.0
2018-08-28,Wisconsin,Wisconsin Senate - Vukmir vs. Baldwin,Suffolk,"Baldwin 50, Vukmir 42",Baldwin +8,2018,Baldwin,D,1.0
2018-09-18,Wisconsin,Wisconsin Senate - Vukmir vs. Baldwin,Marquette,"Baldwin 53, Vukmir 42",Baldwin +11,2018,Baldwin,D,1.0
2018-09-18,Wisconsin,Wisconsin Senate - Vukmir vs. Baldwin,Marquette,"Baldwin 53, Vukmir 42",Baldwin +11,2018,Baldwin,D,1.0
2018-10-10,Wisconsin,Wisconsin Senate - Vukmir vs. Baldwin,Marquette,"Baldwin 53, Vukmir 43",Baldwin +10,2018,Baldwin,D,1.0
2018-10-10,Wisconsin,Wisconsin Senate - Vukmir vs. Baldwin,Marquette,"Baldwin 53, Vukmir 43",Baldwin +10,2018,Baldwin,D,1.0
2018-10-11,Wisconsin,Wisconsin Senate - Vukmir vs. Baldwin,NBC News/Marist,"Baldwin 54, Vukmir 40",Baldwin +14,2018,Baldwin,D,1.0
2018-10-11,Wisconsin,Wisconsin Senate - Vukmir vs. Baldwin,NBC News/Marist,"Baldwin 54, Vukmir 40",Baldwin +14,2018,Baldwin,D,1.0
2016-08-17,Indiana,Indiana Senate - Young vs. Bayh,Monmouth*,"Bayh 48, Young 41",Bayh +7,2016,Bayh,,
2016-09-10,Indiana,Indiana Senate - Young vs. Bayh,WTHR/Howey Politics*,"Bayh 44, Young 40",Bayh +4,2016,Bayh,,
