Date,State,Race,Poll,Result,Spread,Year,Lead,Party,Party Class
2010-09-28,Washington,Washington Senate - Rossi vs. Murray,FOX News/POR-Rasmussen,"Murray 48, Rossi 47",Murray +1,2010,Murray,D,1.0
2010-10-13,Washington,Washington Senate - Rossi vs. Murray,CNN/Time,"Murray 51, Rossi 43",Murray +8,2010,Murray,D,1.0
2010-10-13,Washington,Washington Senate - Rossi vs. Murray,CNN/Time,"Murray 51, Rossi 43",Murray +8,2010,Murray,D,1.0
2010-10-13,Washington,Washington Senate - Rossi vs. Murray,Elway Poll,"Murray 55, Rossi 40",Murray +15,2010,Murray,D,1.0
2010-10-13,Washington,Washington Senate - Rossi vs. Murray,Elway Poll,"Murray 55, Rossi 40",Murray +15,2010,Murray,D,1.0
2010-10-14,Washington,Washington Senate - Rossi vs. Murray,SurveyUSA,"Murray 50, Rossi 47",Murray +3,2010,Murray,D,1.0
2010-10-14,Washington,Washington Senate - Rossi vs. Murray,SurveyUSA,"Murray 50, Rossi 47",Murray +3,2010,Murray,D,1.0
2010-10-15,Washington,Washington Senate - Rossi vs. Murray,The Washington Poll,"Murray 50, Rossi 42",Murray +8,2010,Murray,D,1.0
2010-10-15,Washington,Washington Senate - Rossi vs. Murray,The Washington Poll,"Murray 50, Rossi 42",Murray +8,2010,Murray,D,1.0
2010-10-18,Washington,Washington Senate - Rossi vs. Murray,Rasmussen Reports,"Murray 49, Rossi 46",Murray +3,2010,Murray,D,1.0
2010-10-18,Washington,Washington Senate - Rossi vs. Murray,Rasmussen Reports,"Murray 49, Rossi 46",Murray +3,2010,Murray,D,1.0
2011-02-07,Florida,Florida Senate - Scott vs. Nelson,UNF,"Nelson 48, Scott 42",Nelson +6,2011,Nelson,D,1.0
2011-02-08,Florida,Florida Senate - Scott vs. Nelson,Mason-Dixon,"Nelson 45, Scott 44",Nelson +1,2011,Nelson,D,1.0
2011-02-20,Florida,Florida Senate - Scott vs. Nelson,Gravis,"Nelson 44, Scott 40",Nelson +4,2011,Nelson,D,1.0
2011-02-27,Florida,Florida Senate - Scott vs. Nelson,Quinnipiac,"Nelson 46, Scott 42",Nelson +4,2011,Nelson,D,1.0
2011-03-30,Florida,Florida Senate - LeMieux vs. Nelson,PPP (D),"Nelson 48, LeMieux 33",Nelson +15,2011,Nelson,D,1.0
2011-03-30,Florida,Florida Senate - Hasner vs. Nelson,PPP (D),"Nelson 48, Hasner 32",Nelson +16,2011,Nelson,D,1.0
2011-03-30,Florida,Florida Senate - Haridopolos vs. Nelson,PPP (D),"Nelson 50, Haridopolos 34",Nelson +16,2011,Nelson,D,1.0
2011-05-26,Florida,Florida Senate - Hasner vs. Nelson,Quinnipiac,"Nelson 48, Hasner 23",Nelson +25,2011,Nelson,D,1.0
2011-05-26,Florida,Florida Senate - Haridopolos vs. Nelson,Quinnipiac,"Nelson 47, Haridopolos 26",Nelson +21,2011,Nelson,D,1.0
2011-05-26,Florida,Florida Senate - LeMieux vs. Nelson,Quinnipiac,"Nelson 47, LeMieux 27",Nelson +20,2011,Nelson,D,1.0
2011-06-29,Florida,Florida Senate - LeMieux vs. Nelson,PPP (D),"Nelson 46, LeMieux 35",Nelson +11,2011,Nelson,D,1.0
2011-06-29,Florida,Florida Senate - Haridopolos vs. Nelson,PPP (D),"Nelson 47, Haridopolos 35",Nelson +12,2011,Nelson,D,1.0
2011-06-29,Florida,Florida Senate - Hasner vs. Nelson,PPP (D),"Nelson 47, Hasner 35",Nelson +12,2011,Nelson,D,1.0
2011-08-26,Florida,Florida Senate - Buchanan vs. Nelson,Mason-Dixon,"Nelson 45, Buchanan 35",Nelson +10,2011,Nelson,D,1.0
2011-08-26,Florida,Florida Senate - Hasner vs. Nelson,Mason-Dixon,"Nelson 45, Hasner 34",Nelson +11,2011,Nelson,D,1.0
2011-08-26,Florida,Florida Senate - LeMieux vs. Nelson,Mason-Dixon,"Nelson 49, LeMieux 34",Nelson +15,2011,Nelson,D,1.0
2011-10-04,Florida,Florida Senate - LeMieux vs. Nelson,PPP (D),"Nelson 49, LeMieux 35",Nelson +14,2011,Nelson,D,1.0
2011-10-04,Florida,Florida Senate - Hasner vs. Nelson,PPP (D),"Nelson 49, Hasner 35",Nelson +14,2011,Nelson,D,1.0
2011-11-11,Florida,Florida Senate - Mack vs. Nelson,Quinnipiac,"Nelson 42, Mack 40",Nelson +2,2011,Nelson,D,1.0
2011-12-02,Florida,Florida Senate - Mack vs. Nelson,PPP (D),"Nelson 46, Mack 35",Nelson +11,2011,Nelson,D,1.0
2012-01-11,Florida,Florida Senate - Mack vs. Nelson,Quinnipiac,"Nelson 41, Mack 40",Nelson +1,2012,Nelson,D,1.0
2012-01-28,Florida,Florida Senate - Mack vs. Nelson,Suffolk/7News,"Nelson 42, Mack 32",Nelson +10,2012,Nelson,D,1.0
2012-01-28,Florida,Florida Senate - Mack vs. Nelson,Miami Herald/Mason-Dixon,"Nelson 45, Mack 42",Nelson +3,2012,Nelson,D,1.0
